name,sleeperId,rank,posRank,pos,team,age,ppg,ppgPrior,tier,trend
Tyreek Hill,18082,1000,WR109,WR,FA,,,,,
Deebo Samuel,20932,1001,WR77,WR,FA,,,,,
Eli Stowers,26757,1002,TE11,TE,PHI,,,,,
