"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"19","TreVeyon Henderson","NE","RB","1","2025","1","10","TB","14","147","147.0","10.50","2","0","0","0","0","64.3","35.7","28.6","21.4","21.4","14.3","14.3","2","50.0","3","50.0","3","50.0","1","3.2","1","3","1.1","3.00","3.00","3.0","100.0","0","0.0","0","0","0","10.9","10.9","28.0","28.0"
"20","James Cook","BUF","RB","1","2025","1","13","PIT","32","144","144.0","4.50","0","2","0","0","0","87.5","56.3","34.4","9.4","6.3","3.1","3.1","3","100.0","4","80.0","7","87.5","3","13.0","3","33","26.8","11.00","11.00","33.0","100.0","0","0.0","0","0","0","26.1","26.1","19.7","19.7"
"21","Travis Etienne","JAX","RB","1","2025","1","1","CAR","16","143","143.0","8.94","0","0","0","0","0","87.5","56.3","43.8","25.0","12.5","6.3","6.3","0","0.0","0","0.0","4","44.4","3","9.7","3","13","7.3","4.33","4.33","13.0","100.0","0","0.0","0","0","0","15.7","15.7","18.6","18.6"
"22","Jaylen Warren","PIT","RB","1","2025","1","16","DET","14","143","143.0","10.21","2","0","0","0","0","78.6","64.3","42.9","28.6","21.4","21.4","14.3","0","0.0","1","100.0","3","50.0","2","4.9","2","8","3.0","4.00","4.00","8.0","100.0","0","0.0","1","1","0","13.2","13.2","29.1","29.1"
"23","Bijan Robinson","ATL","RB","1","2025","1","2","MIN","22","143","143.0","6.50","0","0","0","0","0","90.9","68.2","54.5","18.2","13.6","4.5","","0","0.0","0","0.0","3","42.9","5","23.8","3","25","18.5","8.33","5.00","25.0","60.0","0","0.0","1","3","0","23.2","23.2","19.8","19.8"
"24","Jahmyr Gibbs","DET","RB","1","2025","1","10","WAS","15","142","142.0","9.47","2","0","0","0","0","86.7","80.0","53.3","26.7","13.3","13.3","6.7","0","0.0","1","50.0","4","66.7","4","11.4","3","30","9.4","10.00","7.50","30.0","75.0","1","33.3","0","1","0","17.5","17.5","38.2","38.2"
"25","Bijan Robinson","ATL","RB","1","2025","1","13","NYJ","23","142","142.0","6.17","1","0","0","0","0","91.3","73.9","52.2","21.7","8.7","4.3","","2","66.7","3","60.0","4","57.1","7","21.2","5","51","21.8","10.20","7.29","51.0","71.4","0","0.0","0","0","0","25.1","25.1","30.3","30.3"
"26","Christian McCaffrey","SF","RB","1","2025","1","17","CHI","23","140","140.0","6.09","1","0","0","0","0","78.3","69.6","43.5","13.0","13.0","4.3","4.3","2","66.7","3","60.0","5","62.5","5","15.2","4","41","13.5","10.25","8.20","41.0","80.0","0","0.0","0","0","0","23.0","23.0","28.1","28.1"
"27","Ashton Jeanty","LV","RB","1","2025","1","4","CHI","21","138","138.0","6.57","1","1","0","0","0","61.9","61.9","47.6","23.8","4.8","4.8","4.8","0","0.0","3","100.0","4","80.0","2","9.5","2","17","14.5","8.50","8.50","17.0","100.0","2","100.0","2","2","0","18.3","18.3","34.5","34.5"
"28","Jahmyr Gibbs","DET","RB","1","2025","1","7","TB","17","136","136.0","8.00","2","0","0","0","0","88.2","64.7","29.4","17.6","11.8","5.9","5.9","1","100.0","1","100.0","1","100.0","3","10.3","3","82","34.0","27.33","27.33","82.0","100.0","0","0.0","0","0","0","13.6","13.6","36.8","36.8"
"29","Javonte Williams","DAL","RB","1","2025","1","5","NYJ","16","135","135.0","8.44","1","0","0","0","0","100.0","75.0","50.0","12.5","6.3","6.3","6.3","1","100.0","1","100.0","4","100.0","2","6.9","1","4","1.7","4.00","2.00","4.0","50.0","1","25.0","1","1","0","15.1","15.1","26.9","26.9"
"30","Kenneth Walker","SEA","RB","1","2025","2","4","NE","27","135","135.0","5.00","0","0","0","0","0","81.5","44.4","29.6","18.5","7.4","7.4","3.7","0","0.0","0","0.0","5","100.0","4","10.5","2","26","12.9","13.00","6.50","26.0","50.0","0","0.0","0","0","0","23.5","23.5","18.1","18.1"
"31","De'Von Achane","MIA","RB","1","2025","1","13","NO","22","134","134.0","6.09","1","0","0","0","0","81.8","68.2","54.5","13.6","9.1","4.5","","0","0.0","2","100.0","3","100.0","1","4.3","0","0","0.0","","0.00","0.0","","0","0.0","1","1","0","15.7","15.7","19.4","19.4"
"32","Breece Hall","NYJ","RB","1","2025","1","8","CIN","18","133","133.0","7.39","2","0","0","0","0","88.9","77.8","50.0","22.2","11.1","11.1","5.6","1","100.0","2","66.7","5","50.0","3","9.1","2","14","5.6","7.00","4.67","14.0","66.7","0","0.0","1","1","0","18.4","18.4","32.9","32.9"
"33","James Cook","BUF","RB","1","2025","1","2","NYJ","21","132","132.0","6.29","2","1","0","0","0","90.5","76.2","52.4","9.5","4.8","4.8","4.8","1","50.0","2","50.0","6","66.7","1","3.7","1","3","1.7","3.00","3.00","3.0","100.0","0","0.0","0","1","0","17.7","17.7","26.5","26.5"
"34","Saquon Barkley","PHI","RB","1","2025","1","16","WAS","21","132","132.0","6.29","1","0","0","0","0","81.0","52.4","52.4","14.3","4.8","4.8","4.8","1","50.0","2","66.7","4","80.0","2","6.7","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","16.7","16.7","21.2","21.2"
"35","Rhamondre Stevenson","NE","RB","1","2025","1","18","MIA","7","131","131.0","18.71","2","0","0","0","0","100.0","85.7","71.4","42.9","42.9","42.9","28.6","1","33.3","1","20.0","1","16.7","2","9.1","2","22","10.3","11.00","11.00","22.0","100.0","1","100.0","0","1","0","8.1","8.1","35.3","35.3"
"36","Kyle Monangai","CHI","RB","1","2025","1","13","PHI","22","130","130.0","5.91","1","0","0","0","0","86.4","77.3","50.0","9.1","9.1","4.5","4.5","1","50.0","1","50.0","4","80.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","14.2","14.2","19.0","19.0"
"37","Rico Dowdle","CAR","RB","1","2025","1","9","GB","25","130","130.0","5.20","2","0","0","0","0","80.0","60.0","40.0","12.0","8.0","4.0","","2","100.0","3","75.0","4","57.1","3","15.0","2","11","10.8","5.50","3.67","11.0","66.7","0","0.0","0","0","0","20.1","20.1","28.1","28.1"
"38","Christian McCaffrey","SF","RB","1","2025","1","7","ATL","24","129","129.0","5.38","2","0","0","0","0","91.7","62.5","45.8","29.2","8.3","","","2","100.0","2","100.0","5","100.0","8","30.8","7","72","47.4","10.29","9.00","72.0","87.5","0","0.0","0","1","0","28.7","28.7","39.1","39.1"
"39","De'Von Achane","MIA","RB","1","2025","1","6","LAC","16","128","128.0","8.00","2","0","0","0","0","93.8","68.8","43.8","18.8","18.8","6.3","6.3","1","100.0","1","50.0","1","50.0","6","18.2","4","22","10.3","5.50","3.67","22.0","66.7","0","0.0","0","1","0","18.4","18.4","31.0","31.0"
"40","Omarion Hampton","LAC","RB","1","2025","1","4","NYG","12","128","128.0","10.67","1","0","0","0","0","91.7","66.7","50.0","25.0","25.0","16.7","8.3","0","0.0","0","0.0","0","0.0","5","12.2","5","37","18.2","7.40","7.40","37.0","100.0","0","0.0","0","0","0","13.3","13.3","27.5","27.5"
"41","Ashton Jeanty","LV","RB","1","2025","1","16","HST","24","128","128.0","5.33","1","0","0","0","0","91.7","62.5","33.3","4.2","4.2","4.2","4.2","0","0.0","0","0.0","2","100.0","2","8.7","1","60","29.9","60.00","30.00","60.0","50.0","1","50.0","0","0","0","16.4","16.4","31.8","31.8"
"42","Derrick Henry","BLT","RB","1","2025","1","16","NE","18","128","128.0","7.11","2","1","0","0","0","94.4","88.9","55.6","16.7","16.7","16.7","","1","100.0","2","100.0","2","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","10.5","10.5","23.8","23.8"
"43","Blake Corum","LA","RB","1","2025","1","14","ARZ","12","128","128.0","10.67","2","0","0","0","0","100.0","75.0","58.3","33.3","25.0","8.3","8.3","1","33.3","1","33.3","3","60.0","1","3.2","1","3","1.1","3.00","3.00","3.0","100.0","0","0.0","0","0","0","9.9","9.9","26.1","26.1"
"44","Jaylen Warren","PIT","RB","1","2025","1","7","CIN","16","127","127.0","7.94","0","0","0","0","0","100.0","75.0","50.0","25.0","12.5","12.5","6.3","1","100.0","1","100.0","2","100.0","5","14.7","4","31","12.4","7.75","6.20","31.0","80.0","0","0.0","0","0","0","17.0","17.0","19.8","19.8"
"45","Kimani Vidal","LAC","RB","1","2025","1","13","LV","25","126","126.0","5.04","1","0","0","0","0","72.0","60.0","36.0","4.0","4.0","4.0","4.0","2","50.0","2","50.0","4","40.0","1","4.8","1","11","6.9","11.00","11.00","11.0","100.0","0","0.0","0","0","0","17.2","17.2","20.7","20.7"
"46","Derrick Henry","BLT","RB","1","2025","1","18","PIT","20","126","126.0","6.30","0","0","0","0","0","95.0","60.0","30.0","15.0","10.0","10.0","5.0","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","9.8","9.8","12.6","12.6"
"47","D'Andre Swift","CHI","RB","1","2025","1","13","PHI","18","125","125.0","6.94","1","0","0","0","0","100.0","94.4","55.6","16.7","16.7","5.6","","1","50.0","1","50.0","1","20.0","1","2.8","1","13","8.4","13.00","13.00","13.0","100.0","0","0.0","0","0","0","11.2","11.2","20.8","20.8"
"48","Travis Etienne","JAX","RB","1","2025","1","4","SF","19","124","124.0","6.53","1","0","0","0","0","78.9","52.6","47.4","21.1","10.5","5.3","5.3","0","0.0","0","0.0","0","0.0","1","3.2","1","1","0.6","1.00","1.00","1.0","100.0","0","0.0","1","1","0","11.6","11.6","19.5","19.5"
"49","Kimani Vidal","LAC","RB","1","2025","1","6","MIA","18","124","124.0","6.89","0","0","0","0","0","77.8","38.9","33.3","22.2","16.7","11.1","5.6","0","0.0","1","100.0","6","85.7","4","10.5","3","14","5.3","4.67","3.50","14.0","75.0","1","50.0","2","2","0","21.5","21.5","22.8","22.8"
"50","D'Andre Swift","CHI","RB","1","2025","1","7","NO","19","124","124.0","6.53","1","0","0","0","0","89.5","63.2","52.6","26.3","15.8","5.3","","2","66.7","3","50.0","7","53.8","1","3.8","1","14","8.1","14.00","14.00","14.0","100.0","0","0.0","0","0","0","16.8","16.8","20.8","20.8"
"51","Jonathan Taylor","IND","RB","1","2025","1","6","ARZ","21","123","123.0","5.86","1","0","0","0","0","90.5","66.7","42.9","19.0","9.5","4.8","4.8","3","75.0","4","80.0","5","83.3","4","13.3","4","14","6.6","3.50","3.50","14.0","100.0","0","0.0","0","0","0","20.5","20.5","23.7","23.7"
"52","Saquon Barkley","PHI","RB","1","2025","1","14","LAC","20","122","122.0","6.10","1","0","0","0","0","60.0","50.0","35.0","20.0","10.0","5.0","5.0","1","100.0","1","100.0","1","50.0","2","5.0","0","0","0.0","","0.00","0.0","","0","0.0","0","1","0","14.4","14.4","18.2","18.2"
"53","Derrick Henry","BLT","RB","1","2025","1","6","LA","24","122","122.0","5.08","0","0","0","0","0","91.7","83.3","50.0","16.7","","","","2","50.0","2","50.0","5","62.5","2","5.9","1","8","5.7","8.00","4.00","8.0","50.0","0","0.0","0","0","0","19.0","19.0","14.0","14.0"
"54","De'Von Achane","MIA","RB","1","2025","1","11","WAS","21","120","120.0","5.71","0","0","0","0","0","76.2","61.9","42.9","28.6","14.3","4.8","","3","50.0","4","50.0","7","53.8","5","25.0","5","45","26.3","9.00","9.00","45.0","100.0","0","0.0","1","2","0","25.3","25.3","21.5","21.5"
"55","Derrick Henry","BLT","RB","1","2025","1","9","MIA","19","119","119.0","6.26","0","0","0","0","0","78.9","47.4","42.1","21.1","10.5","5.3","5.3","1","50.0","2","66.7","2","50.0","1","4.3","1","2","1.0","2.00","2.00","2.0","100.0","0","0.0","0","0","0","12.5","12.5","13.1","13.1"
"56","Christian McCaffrey","SF","RB","1","2025","1","16","IND","21","117","117.0","5.57","0","0","0","0","0","90.5","61.9","47.6","14.3","9.5","4.8","","1","50.0","3","75.0","5","62.5","8","23.5","6","29","9.8","4.83","3.63","29.0","75.0","2","40.0","3","3","0","28.9","28.9","32.6","32.6"
