"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"56","Tank Dell","HST","WR","1","2024","1","9","NYJ","9","29.0","6","126","66.0","21.00","14.00","126.0","66.7","0","0.0","0","1","0","18.6","18.6","18.6","12.6"
"57","Brock Bowers","LV","TE","1","2024","1","11","MIA","16","37.2","13","126","44.7","9.69","7.88","126.0","81.3","1","50.0","1","2","0","31.3","31.3","31.3","18.3"
"58","Terry McLaurin","WAS","WR","1","2024","1","8","CHI","8","21.1","5","125","38.3","25.00","15.63","125.0","62.5","0","0.0","0","0","0","17.5","17.5","17.5","12.5"
"59","Keon Coleman","BUF","WR","1","2024","1","7","TEN","7","21.2","4","125","38.7","31.25","17.86","125.0","57.1","0","0.0","1","2","0","16.5","16.5","16.5","12.5"
"60","Alec Pierce","IND","WR","1","2024","1","1","HST","3","15.8","3","125","59.0","41.67","41.67","125.0","100.0","1","50.0","0","0","0","21.5","21.5","21.5","18.5"
"61","Chris Godwin","TB","WR","1","2024","1","6","NO","13","36.1","11","125","38.5","11.36","9.62","125.0","84.6","2","50.0","1","1","0","35.5","35.5","35.5","24.5"
"62","Jameson Williams","DET","WR","1","2024","1","11","JAX","6","18.2","4","124","27.6","31.00","20.67","124.0","66.7","1","25.0","0","0","0","22.6","22.6","22.6","18.6"
"63","Trey McBride","ARZ","TE","1","2024","1","8","MIA","9","25.0","9","124","40.4","13.78","13.78","124.0","100.0","0","0.0","0","1","0","21.4","21.4","21.4","12.4"
"64","Trey McBride","ARZ","TE","1","2024","1","17","LA","16","33.3","12","123","38.3","10.25","7.69","123.0","75.0","1","100.0","3","4","0","30.3","30.3","30.3","18.3"
"65","Ladd McConkey","LAC","WR","1","2024","1","11","CIN","9","25.0","6","123","41.4","20.50","13.67","123.0","66.7","0","0.0","0","0","0","18.3","18.3","18.3","12.3"
"66","Puka Nacua","LA","WR","1","2024","1","11","NE","9","33.3","7","123","41.7","17.57","13.67","123.0","77.8","1","25.0","0","2","0","25.3","25.3","25.3","18.3"
"67","Jakobi Meyers","LV","WR","1","2024","1","18","LAC","10","27.8","9","123","54.7","13.67","12.30","123.0","90.0","1","50.0","0","1","0","27.3","27.3","27.3","18.3"
"68","Courtland Sutton","DEN","WR","1","2024","1","9","BLT","10","29.4","7","122","54.2","17.43","12.20","122.0","70.0","0","0.0","1","2","0","23.3","23.3","23.3","16.3"
"69","Brian Thomas","JAX","WR","1","2024","1","5","IND","8","23.5","5","122","32.9","24.40","15.25","122.0","62.5","1","50.0","0","0","0","23.2","23.2","23.2","18.2"
"70","Darius Slayton","NYG","WR","1","2024","1","5","SEA","11","32.4","8","122","47.5","15.25","11.09","122.0","72.7","1","50.0","0","1","0","26.2","26.2","26.2","18.2"
"71","Nico Collins","HST","WR","1","2024","2","1","LAC","8","24.2","7","122","43.3","17.43","15.25","122.0","87.5","1","100.0","0","1","0","25.2","25.2","25.2","18.2"
"72","Diontae Johnson","CAR","WR","1","2024","1","3","LV","13","35.1","8","122","38.2","15.25","9.38","122.0","61.5","1","33.3","3","4","0","26.2","26.2","26.2","18.2"
"73","Alec Pierce","IND","WR","1","2024","1","17","NYG","8","21.1","6","122","37.0","20.33","15.25","122.0","75.0","1","50.0","0","1","0","24.2","24.2","24.2","18.2"
"74","Jameson Williams","DET","WR","1","2024","1","1","LA","9","32.1","5","121","55.8","24.20","13.44","121.0","55.6","1","100.0","0","1","0","24.4","24.4","24.4","19.4"
"75","Rashod Bateman","BLT","WR","1","2024","1","7","TB","4","18.2","4","121","43.1","30.25","30.25","121.0","100.0","1","20.0","0","0","0","22.1","22.1","22.1","18.1"
"76","Jakobi Meyers","LV","WR","1","2024","1","12","DEN","13","24.5","10","121","36.9","12.10","9.31","121.0","76.9","0","0.0","1","3","0","22.1","22.1","22.1","12.1"
"77","DeVonta Smith","PHI","WR","1","2024","1","17","DAL","6","31.6","6","120","60.9","20.00","20.00","120.0","100.0","2","66.7","0","1","0","30.0","30.0","30.0","24.0"
"78","Amon-Ra St. Brown","DET","WR","1","2024","1","2","TB","18","32.1","11","119","36.7","10.82","6.61","119.0","61.1","0","0.0","0","2","0","22.9","22.9","22.9","11.9"
"79","Nico Collins","HST","WR","1","2024","1","13","JAX","11","32.4","8","119","49.2","14.88","10.82","119.0","72.7","0","0.0","0","0","0","19.9","19.9","19.9","11.9"
"80","A.J. Brown","PHI","WR","1","2024","1","1","GB","9","26.5","5","119","42.8","23.80","13.22","119.0","55.6","1","50.0","0","1","0","22.9","22.9","22.9","17.9"
"81","Mike Evans","TB","WR","1","2024","1","13","CAR","12","35.3","8","118","49.2","14.75","9.83","118.0","66.7","1","100.0","1","1","0","25.8","25.8","25.8","17.8"
"82","Quentin Johnston","LAC","WR","1","2024","1","9","CLV","5","18.5","4","118","41.8","29.50","23.60","118.0","80.0","1","50.0","0","0","0","22.0","22.0","22.0","18.0"
"83","Ja'Marr Chase","CIN","WR","1","2024","1","3","WAS","7","18.4","6","118","36.4","19.67","16.86","118.0","85.7","2","66.7","1","2","0","29.8","29.8","29.8","23.8"
"84","Jaxon Smith-Njigba","SEA","WR","1","2024","1","2","NE","16","36.4","12","117","35.8","9.75","7.31","117.0","75.0","0","0.0","0","0","0","23.7","23.7","23.7","11.7"
"85","Travis Kelce","KC","TE","1","2024","2","2","HST","8","32.0","7","117","66.1","16.71","14.63","117.0","87.5","1","100.0","0","2","0","24.7","24.7","24.7","17.7"
"86","Puka Nacua","LA","WR","1","2024","1","12","PHI","13","36.1","9","117","48.1","13.00","9.00","117.0","69.2","0","0.0","0","0","0","20.7","20.7","20.7","11.7"
"87","Chris Godwin","TB","WR","1","2024","1","2","DET","8","42.1","7","117","63.2","16.71","14.63","117.0","87.5","1","100.0","0","0","0","24.7","24.7","24.7","17.7"
"88","Nick Westbrook-Ikhine","TEN","WR","1","2024","1","11","MIN","5","16.1","2","117","39.7","58.50","23.40","117.0","40.0","1","100.0","0","0","0","19.7","19.7","19.7","17.7"
"89","Kayshon Boutte","NE","WR","1","2024","1","18","BUF","7","24.1","7","117","48.5","16.71","16.71","117.0","100.0","1","100.0","0","0","0","24.7","24.7","24.7","17.7"
"90","Nico Collins","HST","WR","1","2024","1","1","IND","7","21.9","6","117","50.0","19.50","16.71","117.0","85.7","0","0.0","0","0","0","17.7","17.7","17.7","11.7"
"91","Ladd McConkey","LAC","WR","1","2024","1","13","ATL","12","50.0","9","117","78.0","13.00","9.75","117.0","75.0","0","0.0","0","0","1","20.7","20.7","20.7","11.7"
"92","CeeDee Lamb","DAL","WR","1","2024","1","15","CAR","13","44.8","9","116","54.2","12.89","8.92","116.0","69.2","1","33.3","0","1","0","26.6","26.6","26.6","17.6"
"93","A.J. Brown","PHI","WR","1","2024","1","6","CLV","9","36.0","6","116","43.9","19.33","12.89","116.0","66.7","1","50.0","0","0","0","23.6","23.6","23.6","17.6"
"94","Justin Jefferson","MIN","WR","1","2024","1","8","LA","9","36.0","8","115","47.9","14.38","12.78","115.0","88.9","0","0.0","1","2","0","19.5","19.5","19.5","11.5"
"95","Zay Flowers","BLT","WR","1","2024","1","8","CLV","12","31.6","7","115","39.8","16.43","9.58","115.0","58.3","0","0.0","0","0","0","18.5","18.5","18.5","11.5"
"96","Tyreek Hill","MIA","WR","1","2024","1","14","NYJ","14","29.8","10","115","34.7","11.50","8.21","115.0","71.4","1","50.0","1","1","0","28.1","28.1","28.1","18.1"
"97","Malik Nabers","NYG","WR","1","2024","1","4","DAL","15","37.5","12","115","40.9","9.58","7.67","115.0","80.0","0","0.0","0","1","0","23.1","23.1","23.1","11.1"
"98","Tylan Wallace","BLT","WR","1","2024","1","10","CIN","3","9.1","3","115","39.7","38.33","38.33","115.0","100.0","1","25.0","0","0","0","20.5","20.5","20.5","17.5"
"99","Ty Johnson","BUF","RB","1","2024","1","15","DET","5","14.7","5","114","31.5","22.80","22.80","114.0","100.0","0","0.0","0","1","0","17.3","17.3","17.3","12.3"
"100","T.J. Hockenson","MIN","TE","1","2024","1","12","CHI","8","22.9","7","114","33.1","16.29","14.25","114.0","87.5","0","0.0","0","0","0","18.4","18.4","18.4","11.4"
"101","Allen Lazard","NYJ","WR","1","2024","1","6","BUF","7","20.0","6","114","38.8","19.00","16.29","114.0","85.7","1","50.0","1","2","0","23.4","23.4","23.4","17.4"
"102","Christian Watson","GB","WR","1","2024","1","14","DET","6","30.0","4","114","55.3","28.50","19.00","114.0","66.7","0","0.0","0","2","1","14.4","14.4","14.4","10.4"
"103","Garrett Wilson","NYJ","WR","1","2024","1","14","MIA","10","25.6","7","114","33.6","16.29","11.40","114.0","70.0","0","0.0","0","2","0","18.4","18.4","18.4","11.4"
"104","Michael Pittman","IND","WR","1","2024","1","4","PIT","9","30.0","6","113","47.3","18.83","12.56","113.0","66.7","0","0.0","0","3","0","17.3","17.3","17.3","11.3"
"105","George Pickens","PIT","WR","1","2024","1","4","IND","11","32.4","7","113","36.2","16.14","10.27","113.0","63.6","0","0.0","3","5","1","17.3","17.3","17.3","10.3"
"106","Jayden Reed","GB","WR","1","2024","1","9","DET","6","15.4","5","113","41.4","22.60","18.83","113.0","83.3","0","0.0","0","0","0","16.3","16.3","16.3","11.3"
"107","Garrett Wilson","NYJ","WR","1","2024","1","8","NE","8","28.6","5","113","48.5","22.60","14.13","113.0","62.5","0","0.0","0","1","0","16.3","16.3","16.3","11.3"
"108","Terry McLaurin","WAS","WR","1","2024","1","10","PIT","6","17.6","5","113","55.9","22.60","18.83","113.0","83.3","0","0.0","0","1","0","16.3","16.3","16.3","11.3"
"109","Jonnu Smith","MIA","TE","1","2024","1","13","GB","11","23.9","10","113","31.0","11.30","10.27","113.0","90.9","0","0.0","1","1","1","21.3","21.3","21.3","11.3"
"110","Terry McLaurin","WAS","WR","1","2024","1","5","CLV","8","28.6","4","112","47.5","28.00","14.00","112.0","50.0","0","0.0","0","1","0","14.4","14.4","14.4","10.4"
"111","Rome Odunze","CHI","WR","1","2024","1","3","IND","11","21.2","6","112","30.9","18.67","10.18","112.0","54.5","1","50.0","1","1","0","23.4","23.4","23.4","17.4"
"112","Amon-Ra St. Brown","DET","WR","1","2024","1","7","MIN","8","32.0","8","112","40.0","14.00","14.00","112.0","100.0","1","50.0","0","0","0","25.2","25.2","25.2","17.2"
"113","George Kittle","SF","TE","1","2024","1","17","DET","8","20.0","8","112","27.2","14.00","14.00","112.0","100.0","0","0.0","0","1","0","19.2","19.2","19.2","11.2"
"114","Marvin Harrison","ARZ","WR","1","2024","1","8","MIA","7","19.4","6","111","36.2","18.50","15.86","111.0","85.7","1","50.0","0","0","0","23.1","23.1","23.1","17.1"
"115","Isaiah Likely","BLT","TE","1","2024","1","1","KC","12","29.3","9","111","40.7","12.33","9.25","111.0","75.0","1","100.0","2","3","0","26.1","26.1","26.1","17.1"
"116","Sam LaPorta","DET","TE","1","2024","1","15","BUF","10","16.9","7","111","22.5","15.86","11.10","111.0","70.0","0","0.0","0","0","0","18.1","18.1","18.1","11.1"
"117","Zay Flowers","BLT","WR","1","2024","1","5","CIN","12","28.6","7","111","31.9","15.86","9.25","111.0","58.3","0","0.0","0","0","0","19.0","19.0","19.0","12.0"
"118","Ladd McConkey","LAC","WR","1","2024","1","8","NO","6","18.8","6","111","39.8","18.50","18.50","111.0","100.0","2","100.0","2","2","0","29.1","29.1","29.1","23.1"
"119","Elijah Moore","CLV","WR","1","2024","1","13","DEN","13","22.4","8","111","22.3","13.88","8.54","111.0","61.5","0","0.0","1","1","0","19.2","19.2","19.2","11.2"
"120","George Pickens","PIT","WR","1","2024","1","7","NYJ","9","31.0","5","111","42.0","22.20","12.33","111.0","55.6","1","50.0","2","3","0","22.1","22.1","22.1","17.1"
"121","Davante Adams","LV","WR","1","2024","1","2","BLT","12","31.6","9","110","39.9","12.22","9.17","110.0","75.0","1","100.0","2","3","0","26.0","26.0","26.0","17.0"
"122","A.J. Brown","PHI","WR","1","2024","1","15","PIT","11","34.4","8","110","37.9","13.75","10.00","110.0","72.7","1","50.0","1","1","0","25.0","25.0","25.0","17.0"
"123","Rashee Rice","KC","WR","1","2024","1","3","ATL","14","35.9","12","110","50.7","9.17","7.86","110.0","85.7","1","50.0","1","2","0","29.1","29.1","29.1","17.1"
"124","Deebo Samuel","SF","WR","1","2024","1","2","MIN","10","27.8","8","110","34.5","13.75","11.00","110.0","80.0","0","0.0","0","1","0","18.0","18.0","18.0","10.0"
"125","Cooper Kupp","LA","WR","1","2024","1","1","DET","21","42.9","14","110","34.7","7.86","5.24","110.0","66.7","1","100.0","2","3","0","32.0","32.0","32.0","18.0"
"126","Jaxon Smith-Njigba","SEA","WR","1","2024","1","11","SF","11","34.4","10","110","49.8","11.00","10.00","110.0","90.9","0","0.0","0","0","0","21.8","21.8","21.8","11.8"
"127","Adam Thielen","CAR","WR","1","2024","1","17","TB","6","21.4","5","110","54.2","22.00","18.33","110.0","83.3","2","100.0","0","1","0","28.0","28.0","28.0","23.0"
"128","Jalen Coker","CAR","WR","1","2024","1","15","DAL","6","21.4","4","110","50.2","27.50","18.33","110.0","66.7","1","100.0","0","0","0","21.0","21.0","21.0","17.0"
"129","Marquez Valdes-Scantling","NO","WR","1","2024","1","10","ATL","3","12.0","3","109","40.5","36.33","36.33","109.0","100.0","2","100.0","1","1","0","25.9","25.9","25.9","22.9"
"130","Michael Pittman","IND","WR","1","2024","1","17","NYG","10","26.3","9","109","33.0","12.11","10.90","109.0","90.0","1","50.0","1","1","0","25.9","25.9","25.9","16.9"
"131","Jaylen Waddle","MIA","WR","1","2024","1","1","JAX","5","13.5","5","109","32.2","21.80","21.80","109.0","100.0","0","0.0","0","0","0","16.2","16.2","16.2","11.2"
"132","A.J. Brown","PHI","WR","1","2024","1","12","LA","7","31.8","6","109","60.9","18.17","15.57","109.0","85.7","1","100.0","1","1","0","22.9","22.9","22.9","16.9"
"133","A.J. Brown","PHI","WR","1","2024","1","10","DAL","7","31.8","5","109","52.7","21.80","15.57","109.0","71.4","0","0.0","0","1","0","15.9","15.9","15.9","10.9"
"134","DeVonta Smith","PHI","WR","1","2024","1","15","PIT","11","34.4","11","109","37.6","9.91","9.91","109.0","100.0","1","50.0","1","2","0","28.0","28.0","28.0","17.0"
"135","Davante Adams","NYJ","WR","1","2024","1","14","MIA","10","25.6","9","109","32.2","12.11","10.90","109.0","90.0","1","100.0","1","1","0","25.9","25.9","25.9","16.9"
"136","Hunter Henry","NE","TE","1","2024","1","2","SEA","10","37.0","8","109","73.2","13.63","10.90","109.0","80.0","0","0.0","0","0","0","18.9","18.9","18.9","10.9"
"137","Josh Downs","IND","WR","1","2024","1","8","HST","8","25.0","4","109","62.3","27.25","13.63","109.0","50.0","1","100.0","0","0","0","22.2","22.2","22.2","18.2"
"138","Darius Slayton","NYG","WR","1","2024","1","8","PIT","7","18.4","4","108","40.9","27.00","15.43","108.0","57.1","0","0.0","0","0","0","14.8","14.8","14.8","10.8"
"139","Jerry Jeudy","CLV","WR","1","2024","1","15","KC","14","41.2","11","108","65.9","9.82","7.71","108.0","78.6","0","0.0","0","0","0","21.8","21.8","21.8","10.8"
"140","Chris Olave","NO","WR","1","2024","1","8","LAC","13","31.0","8","107","38.1","13.38","8.23","107.0","61.5","0","0.0","1","3","0","18.7","18.7","18.7","10.7"
"141","Khalil Shakir","BUF","WR","1","2024","1","8","SEA","9","26.5","9","107","37.8","11.89","11.89","107.0","100.0","0","0.0","0","1","0","19.9","19.9","19.9","10.9"
"142","Garrett Wilson","NYJ","WR","1","2024","1","6","BUF","10","28.6","8","107","36.4","13.38","10.70","107.0","80.0","1","50.0","2","4","0","24.7","24.7","24.7","16.7"
"143","Cooper Kupp","LA","WR","1","2024","1","11","NE","10","37.0","6","106","35.9","17.67","10.60","106.0","60.0","2","50.0","3","3","0","28.6","28.6","28.6","22.6"
"144","Puka Nacua","LA","WR","1","2024","1","8","MIN","9","26.5","7","106","38.0","15.14","11.78","106.0","77.8","0","0.0","0","0","0","18.1","18.1","18.1","11.1"
"145","Khalil Shakir","BUF","WR","1","2024","1","14","LA","8","21.6","5","106","31.0","21.20","13.25","106.0","62.5","1","33.3","1","1","0","21.6","21.6","21.6","16.6"
"146","Drake London","ATL","WR","1","2024","1","17","WAS","13","37.1","7","106","47.5","15.14","8.15","106.0","53.8","0","0.0","0","1","0","17.6","17.6","17.6","10.6"
"147","George Kittle","SF","TE","1","2024","1","16","MIA","8","20.0","8","106","33.9","13.25","13.25","106.0","100.0","0","0.0","0","1","0","18.6","18.6","18.6","10.6"
"148","D.J. Moore","CHI","WR","1","2024","1","12","MIN","7","14.6","7","106","31.2","15.14","15.14","106.0","100.0","1","50.0","1","2","0","26.9","26.9","26.9","19.9"
"149","Jakobi Meyers","LV","WR","1","2024","1","9","CIN","11","33.3","8","105","53.0","13.13","9.55","105.0","72.7","0","0.0","0","0","0","18.5","18.5","18.5","10.5"
"150","Marvin Mims","DEN","WR","1","2024","1","13","CLV","4","11.4","3","105","35.7","35.00","26.25","105.0","75.0","1","100.0","0","1","0","19.9","19.9","19.9","16.9"
"151","Tyreek Hill","MIA","WR","1","2024","1","17","CLV","9","34.6","9","105","46.7","11.67","11.67","105.0","100.0","0","0.0","0","1","0","19.5","19.5","19.5","10.5"
"152","D.J. Moore","CHI","WR","1","2024","1","5","CAR","8","27.6","5","105","34.5","21.00","13.13","105.0","62.5","2","100.0","0","1","0","27.5","27.5","27.5","22.5"
"153","Brian Thomas","JAX","WR","1","2024","1","15","NYJ","14","30.4","10","105","35.7","10.50","7.50","105.0","71.4","2","100.0","2","3","0","32.5","32.5","32.5","22.5"
