"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","Saquon Barkley","PHI","RB","1","2024","1","12","LA","26","255","255.0","9.81","2","0","0","0","0","96.2","69.2","50.0","11.5","7.7","7.7","7.7","0","0.0","4","66.7","6","60.0","4","18.2","4","47","26.3","11.75","11.75","47.0","100.0","0","0.0","0","2","0","25.4","25.4","46.2","46.2"
"2","Jonathan Taylor","IND","RB","1","2024","1","16","TEN","29","218","218.0","7.52","3","0","0","0","0","82.8","48.3","41.4","6.9","6.9","6.9","6.9","1","33.3","3","60.0","6","66.7","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","19.4","19.4","39.8","39.8"
"3","Saquon Barkley","PHI","RB","1","2024","2","2","LA","26","205","205.0","7.88","2","0","0","0","0","80.8","50.0","26.9","7.7","7.7","7.7","7.7","2","100.0","3","100.0","4","100.0","4","20.0","4","27","21.1","6.75","6.75","27.0","100.0","0","0.0","0","0","0","22.1","22.1","39.2","39.2"
"4","Derrick Henry","BLT","RB","1","2024","1","4","BUF","24","199","199.0","8.29","1","1","0","0","0","75.0","50.0","37.5","12.5","12.5","12.5","8.3","4","100.0","4","80.0","4","80.0","3","15.8","3","10","6.4","3.33","3.33","10.0","100.0","1","50.0","1","1","0","20.5","20.5","35.9","35.9"
"5","Derrick Henry","BLT","RB","1","2024","2","1","PIT","26","186","186.0","7.15","2","0","0","0","0","92.3","73.1","38.5","15.4","11.5","7.7","7.7","0","0.0","1","100.0","2","40.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","14.5","14.5","30.6","30.6"
"6","Jonathan Taylor","IND","RB","1","2024","1","18","JAX","34","177","177.0","5.21","1","0","0","0","0","91.2","79.4","50.0","8.8","2.9","","","0","0.0","2","100.0","4","100.0","2","5.0","1","3","1.1","3.00","1.50","3.0","50.0","0","0.0","0","0","0","23.1","23.1","25.0","25.0"
"7","Dameon Pierce","HST","RB","1","2024","1","18","TEN","19","176","176.0","9.26","1","1","0","0","0","94.7","63.2","47.4","21.1","5.3","5.3","5.3","0","0.0","1","20.0","2","22.2","2","7.1","0","0","0.0","","0.00","0.0","","0","0.0","0","1","0","14.8","14.8","23.6","23.6"
"8","Saquon Barkley","PHI","RB","1","2024","1","7","NYG","17","176","176.0","10.35","1","0","0","0","0","82.4","70.6","47.1","17.6","17.6","17.6","17.6","2","25.0","3","30.0","4","30.8","2","13.3","2","11","9.6","5.50","5.50","11.0","100.0","0","0.0","0","0","0","14.7","14.7","26.7","26.7"
"9","Bijan Robinson","ATL","RB","1","2024","1","18","CAR","28","170","170.0","6.07","2","0","0","0","0","89.3","78.6","53.6","21.4","7.1","3.6","","3","75.0","6","85.7","9","90.0","5","13.2","2","3","1.0","1.50","0.60","3.0","40.0","0","0.0","0","1","0","29.7","29.7","31.3","31.3"
"10","Derrick Henry","BLT","RB","1","2024","1","7","TB","15","169","169.0","11.27","0","0","0","0","0","86.7","73.3","33.3","20.0","13.3","13.3","13.3","0","0.0","1","100.0","3","75.0","1","4.5","1","13","4.6","13.00","13.00","13.0","100.0","1","20.0","0","1","0","12.2","12.2","25.2","25.2"
"11","Saquon Barkley","PHI","RB","1","2024","1","17","DAL","31","167","167.0","5.39","0","0","0","0","0","87.1","67.7","41.9","12.9","9.7","6.5","","0","0.0","1","25.0","4","57.1","2","10.5","2","2","1.0","1.00","1.00","2.0","100.0","0","0.0","0","1","0","22.4","22.4","18.9","18.9"
"12","Derrick Henry","BLT","RB","1","2024","1","16","PIT","24","162","162.0","6.75","0","0","0","0","0","83.3","62.5","45.8","29.2","4.2","4.2","4.2","0","0.0","3","100.0","5","62.5","2","8.7","2","27","13.0","13.50","13.50","27.0","100.0","0","0.0","0","0","0","19.0","19.0","20.9","20.9"
"13","Joe Mixon","HST","RB","1","2024","1","1","IND","30","159","159.0","5.30","1","0","0","0","0","86.7","83.3","46.7","13.3","","","","2","66.7","4","80.0","5","71.4","3","9.4","3","19","8.1","6.33","6.33","19.0","100.0","0","0.0","0","0","0","23.4","23.4","26.8","26.8"
"14","Saquon Barkley","PHI","RB","1","2024","1","9","JAX","27","159","159.0","5.89","1","1","0","0","0","81.5","59.3","44.4","22.2","11.1","3.7","","0","0.0","0","0.0","2","33.3","4","16.7","3","40","17.4","13.33","10.00","40.0","75.0","1","50.0","0","3","0","23.3","23.3","33.9","33.9"
"15","Alvin Kamara","NO","RB","1","2024","1","9","CAR","29","155","155.0","5.34","0","0","0","0","0","93.1","86.2","51.7","10.3","3.4","3.4","","0","0.0","0","0.0","4","57.1","8","25.0","6","60","25.4","10.00","7.50","60.0","75.0","0","0.0","0","1","0","30.3","30.3","27.5","27.5"
"16","Chuba Hubbard","CAR","RB","1","2024","1","10","NYG","28","153","153.0","5.46","1","0","0","0","0","85.7","50.0","32.1","14.3","14.3","10.7","","2","100.0","3","100.0","5","100.0","6","24.0","4","16","12.7","4.00","2.67","16.0","66.7","0","0.0","0","0","1","26.9","26.9","25.9","25.9"
"17","Chuba Hubbard","CAR","RB","1","2024","1","16","ARZ","25","152","152.0","6.08","2","0","0","0","0","84.0","76.0","48.0","16.0","8.0","8.0","","4","80.0","4","66.7","5","62.5","5","19.2","4","13","8.2","3.25","2.60","13.0","80.0","0","0.0","0","1","0","24.8","24.8","32.5","32.5"
