"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"18","Bucky Irving","TB","RB","1","2024","1","13","CAR","25","152","152.0","6.08","1","0","0","0","0","92.0","76.0","48.0","16.0","4.0","4.0","4.0","2","50.0","4","57.1","7","58.3","3","8.8","3","33","13.8","11.00","11.00","33.0","100.0","0","0.0","0","0","0","22.7","22.7","27.5","27.5"
"19","Josh Jacobs","GB","RB","1","2024","1","2","IND","32","151","151.0","4.72","0","1","0","0","0","87.5","56.3","37.5","12.5","6.3","3.1","3.1","1","100.0","1","100.0","2","66.7","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","17.4","17.4","14.1","14.1"
"20","Derrick Henry","BLT","RB","1","2024","1","3","DAL","25","151","151.0","6.04","2","0","0","0","0","92.0","68.0","36.0","20.0","8.0","8.0","","2","100.0","2","66.7","2","66.7","1","6.7","1","23","12.6","23.00","23.00","23.0","100.0","0","0.0","0","0","0","15.5","15.5","30.4","30.4"
"21","Saquon Barkley","PHI","RB","1","2024","1","16","WAS","29","150","150.0","5.17","2","0","0","0","0","75.9","44.8","27.6","13.8","6.9","3.4","3.4","3","100.0","3","100.0","6","85.7","1","3.6","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","20.9","20.9","27.0","27.0"
"22","Rico Dowdle","DAL","RB","1","2024","1","15","CAR","25","149","149.0","5.96","0","0","0","0","0","100.0","96.0","52.0","20.0","","","","0","0.0","0","0.0","1","20.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.1","13.1","14.9","14.9"
"23","Derrick Henry","BLT","RB","1","2024","1","17","HST","27","147","147.0","5.44","1","0","0","0","0","92.6","74.1","59.3","11.1","7.4","3.7","","2","100.0","2","66.7","4","80.0","2","11.8","2","18","9.8","9.00","9.00","18.0","100.0","0","0.0","0","0","0","19.6","19.6","24.5","24.5"
"24","Jordan Mason","SF","RB","1","2024","1","1","NYJ","28","147","147.0","5.25","1","0","0","0","0","92.9","60.7","50.0","17.9","3.6","3.6","","2","66.7","2","66.7","5","62.5","1","3.4","1","5","2.2","5.00","5.00","5.0","100.0","0","0.0","0","0","0","19.5","19.5","22.2","22.2"
"25","Saquon Barkley","PHI","RB","1","2024","1","3","NO","17","147","147.0","8.65","2","0","0","0","0","76.5","70.6","47.1","23.5","11.8","11.8","5.9","1","100.0","1","100.0","2","66.7","4","10.5","4","9","2.9","2.25","2.25","9.0","100.0","0","0.0","0","1","0","16.8","16.8","33.6","33.6"
"26","Saquon Barkley","PHI","RB","1","2024","1","11","WAS","26","146","146.0","5.62","2","0","0","0","0","88.5","61.5","34.6","7.7","7.7","7.7","3.8","2","66.7","2","50.0","3","37.5","2","7.1","2","52","23.5","26.00","26.00","52.0","100.0","0","0.0","0","0","0","18.3","18.3","33.8","33.8"
"27","Tyrone Tracy","NYG","RB","1","2024","1","8","PIT","20","145","145.0","7.25","1","0","0","0","0","85.0","65.0","45.0","20.0","15.0","10.0","5.0","0","0.0","0","0.0","1","50.0","3","7.9","2","5","1.9","2.50","1.67","5.0","66.7","0","0.0","0","1","0","15.9","15.9","23.0","23.0"
"28","Derrick Henry","BLT","RB","1","2024","1","12","LAC","24","140","140.0","5.83","0","0","0","0","0","83.3","79.2","50.0","16.7","8.3","4.2","","0","0.0","1","50.0","3","75.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","14.3","14.3","14.0","14.0"
"29","Jahmyr Gibbs","DET","RB","1","2024","1","18","MIN","23","139","139.0","6.04","3","0","0","0","0","87.0","69.6","34.8","17.4","8.7","8.7","4.3","1","100.0","1","100.0","5","100.0","5","15.2","5","31","13.4","6.20","6.20","31.0","100.0","1","100.0","1","1","0","23.8","23.8","46.0","46.0"
"30","Taysom Hill","NO","TE","1","2024","1","11","CLV","7","138","138.0","19.71","3","0","0","0","0","85.7","85.7","71.4","57.1","28.6","28.6","28.6","0","0.0","1","33.3","2","33.3","10","34.5","8","50","18.8","6.25","5.00","50.0","80.0","0","0.0","0","2","1","21.6","21.6","43.5","43.5"
"31","Derrick Henry","BLT","RB","1","2024","1","18","CLV","20","138","138.0","6.90","2","0","0","0","0","75.0","50.0","40.0","20.0","20.0","15.0","5.0","2","100.0","2","66.7","3","50.0","3","9.4","2","23","10.6","11.50","7.67","23.0","66.7","0","0.0","1","1","0","17.6","17.6","30.1","30.1"
"32","Sean Tucker","TB","RB","1","2024","1","6","NO","14","136","136.0","9.71","1","0","0","0","0","92.9","85.7","71.4","42.9","14.3","7.1","7.1","1","33.3","1","25.0","2","22.2","3","8.3","3","56","17.2","18.67","18.67","56.0","100.0","1","25.0","0","0","0","13.0","13.0","34.2","34.2"
"33","J.K. Dobbins","LAC","RB","1","2024","1","1","LV","10","135","135.0","13.50","1","0","0","0","0","90.0","50.0","40.0","30.0","20.0","20.0","20.0","0","0.0","1","100.0","2","40.0","3","11.5","3","4","2.8","1.33","1.33","4.0","100.0","0","0.0","0","0","0","11.1","11.1","22.9","22.9"
"34","Zach Charbonnet","SEA","RB","1","2024","1","14","ARZ","22","134","134.0","6.09","2","0","0","0","0","59.1","50.0","36.4","18.2","13.6","9.1","4.5","4","100.0","5","100.0","8","72.7","7","23.3","7","59","25.3","8.43","8.43","59.0","100.0","0","0.0","0","0","0","28.0","28.0","38.3","38.3"
"35","Brian Robinson","WAS","RB","1","2024","1","2","NYG","17","133","133.0","7.82","0","0","0","0","0","82.4","47.1","41.2","29.4","17.6","11.8","11.8","0","0.0","3","60.0","4","30.8","2","6.9","1","3","1.3","3.00","1.50","3.0","50.0","0","0.0","0","1","0","15.5","15.5","14.6","14.6"
"36","Derrick Henry","BLT","RB","1","2024","1","6","WAS","24","132","132.0","5.50","2","0","0","0","0","95.8","70.8","45.8","12.5","8.3","4.2","","1","100.0","2","100.0","4","57.1","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","15.2","15.2","25.2","25.2"
"37","Rico Dowdle","DAL","RB","1","2024","1","14","CIN","18","131","131.0","7.28","0","0","0","0","0","83.3","72.2","55.6","27.8","11.1","5.6","","0","0.0","0","0.0","3","75.0","2","6.5","1","10","5.5","10.00","5.00","10.0","50.0","0","0.0","0","1","0","15.2","15.2","15.1","15.1"
"38","J.K. Dobbins","LAC","RB","1","2024","1","2","CAR","17","131","131.0","7.71","1","0","0","0","0","76.5","76.5","58.8","23.5","11.8","5.9","5.9","0","0.0","0","0.0","0","0.0","1","5.0","1","0","0.0","","0.00","0.0","100.0","0","0.0","0","0","0","9.8","9.8","20.1","20.1"
"39","Tyrone Tracy","NYG","RB","1","2024","1","5","SEA","18","129","129.0","7.17","0","0","0","0","0","100.0","77.8","50.0","22.2","11.1","11.1","","0","0.0","0","0.0","2","28.6","2","5.9","1","1","0.4","1.00","0.50","1.0","50.0","0","0.0","0","0","0","13.5","13.5","14.0","14.0"
"40","D'Andre Swift","CHI","RB","1","2024","1","8","WAS","18","129","129.0","7.17","1","0","0","0","0","83.3","61.1","50.0","11.1","11.1","11.1","5.6","0","0.0","1","33.3","2","33.3","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","10.5","10.5","18.9","18.9"
"41","Tony Pollard","TEN","RB","1","2024","1","9","NE","28","128","128.0","4.57","0","0","0","0","0","85.7","64.3","35.7","10.7","3.6","3.6","3.6","0","0.0","3","75.0","7","70.0","3","9.1","3","26","10.8","8.67","8.67","26.0","100.0","0","0.0","0","0","0","24.2","24.2","18.4","18.4"
"42","Josh Jacobs","GB","RB","1","2024","1","8","JAX","25","127","127.0","5.08","2","0","0","0","0","92.0","72.0","32.0","8.0","4.0","4.0","4.0","2","50.0","2","50.0","4","50.0","2","7.4","1","-2","-0.8","-2.00","-1.00","-2.0","50.0","0","0.0","0","0","0","18.7","18.7","25.5","25.5"
"43","Jayden Daniels","WAS","QB","1","2024","1","17","ATL","16","127","127.0","7.94","0","0","7","72","0","87.5","81.3","68.8","25.0","18.8","6.3","","1","33.3","3","42.9","6","42.9","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.0","13.0","32.8","32.8"
"44","Jahmyr Gibbs","DET","RB","1","2024","1","8","TEN","11","127","127.0","11.55","1","0","0","0","0","90.9","81.8","63.6","18.2","9.1","9.1","9.1","1","33.3","1","25.0","3","42.9","1","5.3","1","6","6.4","6.00","6.00","6.0","100.0","0","0.0","0","0","0","9.5","9.5","20.3","20.3"
"45","Bijan Robinson","ATL","RB","1","2024","1","15","LV","22","125","125.0","5.68","0","0","0","0","0","95.5","72.7","45.5","13.6","4.5","4.5","","0","0.0","0","0.0","0","0.0","1","5.9","1","10","8.9","10.00","10.00","10.0","100.0","0","0.0","0","0","0","12.3","12.3","14.5","14.5"
"46","Jonathan Taylor","IND","RB","1","2024","1","17","NYG","32","125","125.0","3.91","2","0","0","0","0","78.1","56.3","37.5","6.3","3.1","3.1","","2","100.0","4","100.0","8","100.0","4","10.5","2","11","3.3","5.50","2.75","11.0","50.0","0","0.0","0","2","0","30.1","30.1","27.6","27.6"
"47","Saquon Barkley","PHI","RB","1","2024","1","14","CAR","20","124","124.0","6.20","0","0","0","0","0","90.0","70.0","50.0","25.0","10.0","","","2","66.7","4","80.0","4","80.0","1","4.8","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","14.7","14.7","14.4","14.4"
"48","Jordan Mason","SF","RB","1","2024","1","4","NE","24","123","123.0","5.13","1","0","0","0","0","83.3","50.0","37.5","16.7","12.5","8.3","","1","100.0","3","100.0","6","100.0","3","11.1","2","37","12.8","18.50","12.33","37.0","66.7","0","0.0","0","1","0","22.2","22.2","24.0","24.0"
"49","James Conner","ARZ","RB","1","2024","1","2","LA","21","122","122.0","5.81","1","1","0","0","0","90.5","71.4","52.4","19.0","9.5","4.8","","1","100.0","2","100.0","4","57.1","1","4.8","1","2","0.8","2.00","2.00","2.0","100.0","0","0.0","0","0","0","15.2","15.2","19.4","19.4"
"50","Kyren Williams","LA","RB","1","2024","1","16","NYJ","23","122","122.0","5.30","1","0","0","0","0","91.3","73.9","52.2","8.7","","","","1","100.0","1","100.0","4","57.1","1","5.3","1","7","6.4","7.00","7.00","7.0","100.0","0","0.0","0","0","0","16.2","16.2","19.9","19.9"
"51","Lamar Jackson","BLT","QB","1","2024","1","1","KC","16","122","122.0","7.63","0","0","10","75","0","100.0","93.8","68.8","31.3","6.3","","","0","0.0","0","0.0","3","60.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","10.4","10.4","26.1","26.1"
"52","De'Von Achane","MIA","RB","1","2024","1","18","NYJ","11","121","121.0","11.00","1","0","0","0","0","81.8","72.7","54.5","36.4","27.3","18.2","9.1","1","100.0","1","50.0","3","60.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","8.0","8.0","18.1","18.1"
"53","Chase Brown","CIN","RB","1","2024","1","9","LV","27","120","120.0","4.44","0","0","0","0","0","88.9","63.0","44.4","7.4","3.7","3.7","","1","100.0","6","100.0","7","87.5","5","12.8","5","37","14.7","7.40","7.40","37.0","100.0","1","20.0","1","1","0","27.5","27.5","26.7","26.7"
"54","James Cook","BUF","RB","1","2024","2","1","DEN","23","120","120.0","5.22","1","0","0","0","0","91.3","60.9","43.5","13.0","13.0","","","1","100.0","3","75.0","6","42.9","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","16.4","16.4","18.0","18.0"
"55","Rhamondre Stevenson","NE","RB","1","2024","1","1","CIN","25","120","120.0","4.80","1","1","0","0","0","84.0","64.0","36.0","16.0","8.0","","","1","100.0","2","100.0","3","60.0","3","12.5","3","6","5.0","2.00","2.00","6.0","100.0","0","0.0","0","1","0","20.1","20.1","21.6","21.6"
"56","De'Von Achane","MIA","RB","1","2024","1","16","SF","17","120","120.0","7.06","1","0","0","0","0","88.2","64.7","58.8","5.9","5.9","5.9","5.9","1","100.0","2","100.0","2","66.7","7","20.6","6","70","32.6","11.67","10.00","70.0","85.7","0","0.0","0","0","0","20.4","20.4","31.0","31.0"
"57","Saquon Barkley","PHI","RB","1","2024","2","1","GB","25","119","119.0","4.76","0","0","0","0","0","88.0","72.0","32.0","12.0","12.0","","","0","0.0","0","0.0","4","66.7","2","9.5","2","4","3.1","2.00","2.00","4.0","100.0","0","0.0","0","0","0","18.7","18.7","14.3","14.3"
"58","Tony Pollard","TEN","RB","1","2024","1","12","HST","24","119","119.0","4.96","1","0","0","0","0","83.3","66.7","37.5","20.8","8.3","4.2","","0","0.0","1","100.0","2","100.0","5","20.0","3","10","3.6","3.33","2.00","10.0","60.0","0","0.0","0","0","0","20.9","20.9","21.9","21.9"
"59","Tank Bigsby","JAX","RB","1","2024","1","7","NE","26","118","118.0","4.54","2","0","0","0","0","92.3","65.4","38.5","15.4","","","","2","100.0","9","90.0","14","87.5","1","5.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","26.3","26.3","23.8","23.8"
"60","Saquon Barkley","PHI","RB","1","2024","2","3","WAS","15","118","118.0","7.87","3","0","0","0","0","73.3","60.0","46.7","20.0","13.3","13.3","6.7","3","42.9","4","36.4","5","35.7","2","7.1","1","4","1.6","4.00","2.00","4.0","50.0","0","0.0","0","0","0","14.6","14.6","31.2","31.2"
"61","James Conner","ARZ","RB","1","2024","1","16","CAR","15","117","117.0","7.80","1","0","0","0","0","93.3","80.0","66.7","20.0","13.3","6.7","6.7","0","0.0","1","100.0","3","75.0","4","12.5","4","49","24.3","12.25","12.25","49.0","100.0","0","0.0","0","1","0","16.7","16.7","26.6","26.6"
"62","Jahmyr Gibbs","DET","RB","1","2024","1","17","SF","18","117","117.0","6.50","1","0","0","0","0","77.8","72.2","50.0","16.7","16.7","11.1","5.6","0","0.0","2","33.3","3","42.9","4","11.8","4","46","15.2","11.50","11.50","46.0","100.0","0","0.0","0","0","0","17.3","17.3","26.3","26.3"
"63","Bucky Irving","TB","RB","1","2024","1","15","LAC","15","117","117.0","7.80","0","0","0","0","0","86.7","73.3","46.7","13.3","13.3","6.7","6.7","0","0.0","0","0.0","2","40.0","2","7.4","2","-4","-1.4","-2.00","-2.00","-4.0","100.0","0","0.0","1","1","0","12.8","12.8","13.3","13.3"
"64","Jahmyr Gibbs","DET","RB","1","2024","1","7","MIN","15","116","116.0","7.73","2","0","0","0","0","93.3","80.0","46.7","13.3","6.7","6.7","6.7","0","0.0","1","50.0","2","66.7","4","16.0","4","44","15.7","11.00","11.00","44.0","100.0","0","0.0","0","0","0","15.0","15.0","32.0","32.0"
"65","Bijan Robinson","ATL","RB","1","2024","1","10","NO","20","116","116.0","5.80","2","0","0","0","0","85.0","75.0","50.0","5.0","5.0","5.0","5.0","1","25.0","2","40.0","2","40.0","4","10.5","3","28","9.2","9.33","7.00","28.0","75.0","0","0.0","0","0","0","17.4","17.4","29.4","29.4"
"66","Alvin Kamara","NO","RB","1","2024","1","2","DAL","20","115","115.0","5.75","3","0","0","0","0","95.0","90.0","50.0","20.0","5.0","","","1","50.0","2","50.0","5","50.0","3","18.8","2","65","26.7","32.50","21.67","65.0","66.7","1","50.0","0","1","0","19.4","19.4","44.0","44.0"
"67","Ameer Abdullah","LV","RB","1","2024","1","17","NO","20","115","115.0","5.75","0","0","0","0","0","90.0","75.0","50.0","20.0","5.0","","","1","50.0","2","66.7","5","83.3","4","11.4","3","32","13.2","10.67","8.00","32.0","75.0","0","0.0","0","1","0","20.8","20.8","17.7","17.7"
"68","Joe Mixon","HST","RB","1","2024","1","7","GB","25","115","115.0","4.60","2","0","0","0","0","76.0","48.0","28.0","16.0","8.0","4.0","4.0","2","100.0","2","100.0","7","87.5","3","14.3","2","9","10.5","4.50","3.00","9.0","66.7","0","0.0","0","0","0","22.7","22.7","26.4","26.4"
"69","Chuba Hubbard","CAR","RB","1","2024","1","3","LV","21","114","114.0","5.43","0","0","0","0","0","90.5","81.0","61.9","14.3","","","","0","0.0","1","33.3","3","60.0","5","13.5","5","55","17.2","11.00","11.00","55.0","100.0","1","33.3","2","2","0","21.9","21.9","27.9","27.9"
"70","Jonathan Taylor","IND","RB","1","2024","1","10","BUF","21","114","114.0","5.43","0","0","0","0","0","66.7","38.1","14.3","14.3","9.5","9.5","4.8","1","100.0","3","100.0","6","100.0","4","11.4","2","8","2.9","4.00","2.00","8.0","50.0","0","0.0","0","0","0","21.4","21.4","14.2","14.2"
"71","Najee Harris","PIT","RB","1","2024","1","8","NYG","19","114","114.0","6.00","0","0","0","0","0","84.2","73.7","52.6","21.1","5.3","5.3","","1","100.0","3","100.0","3","60.0","4","14.3","3","17","6.1","5.67","4.25","17.0","75.0","0","0.0","0","0","0","17.8","17.8","16.1","16.1"
"72","Bucky Irving","TB","RB","1","2024","1","17","CAR","20","113","113.0","5.65","0","0","0","0","0","75.0","65.0","50.0","20.0","5.0","5.0","5.0","2","100.0","2","100.0","2","22.2","4","12.5","4","77","21.4","19.25","19.25","77.0","100.0","0","0.0","1","1","0","18.3","18.3","23.0","23.0"
"73","Breece Hall","NYJ","RB","1","2024","1","6","BUF","18","113","113.0","6.28","0","0","0","0","0","77.8","55.6","33.3","22.2","11.1","11.1","5.6","1","100.0","1","50.0","1","50.0","6","17.1","5","56","19.0","11.20","9.33","56.0","83.3","0","0.0","0","2","0","20.2","20.2","21.9","21.9"
"74","Alvin Kamara","NO","RB","1","2024","1","13","LA","23","112","112.0","4.87","0","0","0","0","0","87.0","69.6","47.8","17.4","","","","0","0.0","1","100.0","3","75.0","6","16.2","4","7","3.8","1.75","1.17","7.0","66.7","0","0.0","0","0","0","22.7","22.7","15.9","15.9"
"75","Rico Dowdle","DAL","RB","1","2024","1","13","NYG","22","112","112.0","5.09","1","0","0","0","0","81.8","68.2","27.3","18.2","13.6","4.5","","1","100.0","2","50.0","3","50.0","3","8.3","3","11","5.6","3.67","3.67","11.0","100.0","0","0.0","0","1","0","18.6","18.6","21.3","21.3"
"76","James Cook","BUF","RB","1","2024","1","8","SEA","17","111","111.0","6.53","2","0","0","0","0","94.1","76.5","58.8","23.5","5.9","","","1","50.0","2","40.0","5","45.5","3","8.8","3","22","7.8","7.33","7.33","22.0","100.0","0","0.0","0","0","0","17.1","17.1","28.3","28.3"
"77","Jonathan Taylor","IND","RB","1","2024","1","3","CHI","23","110","110.0","4.78","2","0","0","0","0","87.0","47.8","39.1","13.0","8.7","8.7","","4","57.1","4","57.1","4","44.4","2","10.0","1","25","15.0","25.00","12.50","25.0","50.0","0","0.0","0","0","0","17.7","17.7","26.5","26.5"
"78","James Conner","ARZ","RB","1","2024","1","15","NE","16","110","110.0","6.88","2","0","0","0","0","81.3","56.3","43.8","12.5","12.5","6.3","6.3","3","100.0","3","75.0","6","75.0","5","15.6","5","28","12.1","5.60","5.60","28.0","100.0","0","0.0","0","2","0","22.0","22.0","30.8","30.8"
"79","Joe Mixon","HST","RB","1","2024","1","11","DAL","20","109","109.0","5.45","3","0","0","0","0","80.0","45.0","35.0","10.0","10.0","5.0","5.0","3","100.0","5","100.0","9","90.0","3","8.8","2","44","17.1","22.00","14.67","44.0","66.7","0","0.0","2","2","0","23.6","23.6","35.3","35.3"
"80","Saquon Barkley","PHI","RB","1","2024","1","1","GB","24","109","109.0","4.54","2","0","0","0","0","83.3","50.0","33.3","12.5","4.2","4.2","4.2","2","66.7","3","75.0","8","66.7","2","5.9","2","23","8.3","11.50","11.50","23.0","100.0","1","50.0","0","1","0","22.4","22.4","33.2","33.2"
"81","Jahmyr Gibbs","DET","RB","1","2024","1","16","CHI","23","109","109.0","4.74","1","0","0","0","0","82.6","69.6","52.2","13.0","","","","3","100.0","6","100.0","9","81.8","5","15.6","4","45","13.4","11.25","9.00","45.0","80.0","0","0.0","0","0","0","26.4","26.4","25.4","25.4"
"82","Patrick Taylor","SF","RB","1","2024","1","18","ARZ","17","109","109.0","6.41","0","0","0","0","0","94.1","70.6","47.1","17.6","5.9","5.9","","1","50.0","1","33.3","2","50.0","4","9.3","1","12","3.7","12.00","3.00","12.0","25.0","0","0.0","0","0","0","16.0","16.0","13.1","13.1"
"83","Saquon Barkley","PHI","RB","1","2024","1","8","CIN","22","108","108.0","4.91","0","0","0","0","0","86.4","59.1","40.9","13.6","9.1","","","2","40.0","2","33.3","4","36.4","1","5.0","1","3","1.3","3.00","3.00","3.0","100.0","0","0.0","0","0","0","15.7","15.7","12.1","12.1"
"84","Kyren Williams","LA","RB","1","2024","1","15","SF","29","108","108.0","3.72","0","0","0","0","0","93.1","62.1","34.5","3.4","","","","0","0.0","1","50.0","8","88.9","2","7.4","2","4","2.5","2.00","2.00","4.0","100.0","0","0.0","1","1","0","24.9","24.9","13.2","13.2"
"85","Saquon Barkley","PHI","RB","1","2024","1","13","BLT","23","107","107.0","4.65","1","1","0","0","0","78.3","65.2","39.1","13.0","4.3","4.3","","0","0.0","0","0.0","4","66.7","3","15.8","2","10","8.5","5.00","3.33","10.0","66.7","0","0.0","0","0","0","19.2","19.2","19.7","19.7"
"86","Jonathan Taylor","IND","RB","1","2024","1","15","DEN","22","107","107.0","4.86","0","1","0","0","0","77.3","50.0","27.3","13.6","9.1","4.5","4.5","0","0.0","0","0.0","0","0.0","2","5.3","1","4","2.3","4.00","2.00","4.0","50.0","0","0.0","0","0","0","13.7","13.7","11.1","11.1"
"87","James Conner","ARZ","RB","1","2024","1","9","CHI","18","107","107.0","5.94","0","0","0","0","0","94.4","77.8","50.0","16.7","16.7","","","0","0.0","2","50.0","7","77.8","3","15.0","3","12","7.8","4.00","4.00","12.0","100.0","0","0.0","0","0","0","19.3","19.3","14.9","14.9"
"88","James Cook","BUF","RB","1","2024","1","13","SF","14","107","107.0","7.64","1","0","0","0","0","78.6","35.7","35.7","21.4","14.3","7.1","7.1","0","0.0","2","50.0","2","40.0","1","5.6","1","13","8.6","13.00","13.00","13.0","100.0","0","0.0","0","0","0","10.1","10.1","19.0","19.0"
