2026 SUPERFLEX DYNASTY RANKINGS,,,,,,,"PLAYERS
RANKED","PLAYERS
RANKED",284,0,0,0,0,0,,"SUPERFLEX RANKS
ARE IN SEQUENCE",,YES,,"SUPERFLEX RANKS
CONTAIN DUPLICATES",NO
,PLAYTER/TEAM INFORMATION,,,,,,,,RANKS,,,,,,,,,,,,
,SFX RANK,SDIO ID,NAME,AGE,EXP,POS,TEAM,AVG RANK,THEO,,,,,,TRADE VALUE,,,,,,
,,,#REF!,,,,,,,,,,,,,,,,,,
,58,23187,Tyler Shough,26,2,QB,NO,9.67,58,,,,,,361.6691291,QB20,,,,,
,59,24967,Bucky Irving,23,3,RB,TB,9.83,59,,,,,,355.3234875,RB14,,,,,
,60,23234,Jameson Williams,25,5,WR,DET,10.00,60,,,,,,352.7653849,WR22,,,,,
,61,25870,Harold Fannin Jr.,21,2,TE,CLE,10.17,61,,,,,,346.1346859,TE5,,,,,
,62,24118,Tucker Kraft,25,4,TE,GB,10.33,62,,,,,,344.0419054,TE6,,,,,
,63,24977,Rome Odunze,23,3,WR,CHI,10.50,63,,,,,,343.168845,WR23,,,,,
,64,25097,Ladd McConkey,24,3,WR,LAC,10.67,64,,,,,,334.4364649,WR24,,,,,
,65,25887,Cam Skattebo,24,2,RB,NYG,10.83,65,,,,,,334.3194341,RB15,,,,,
,66,22526,Breece Hall,24,5,RB,NYJ,11.00,66,,,,,,324.5806908,RB16,,,,,
,67,26748,Makai Lemon,21,0,WR,PHI,11.17,67,,,,,,323.7245927,WR25,,,,,
,68,19766,Saquon Barkley,29,9,RB,PHI,11.33,68,,,,,,316.8239155,RB17,,,,,
,69,21687,DeVonta Smith,27,6,WR,PHI,11.50,69,,,,,,316.1065133,WR26,,,,,
,70,26765,Jadarian Price,22,0,RB,SEA,11.67,70,,,,,,313.4891205,RB18,,,,,
,71,21696,Travis Etienne Jr.,27,6,RB,NO,11.83,71,,,,,,311.7597213,RB19,,,,,
,72,23141,Sam LaPorta,25,4,TE,DET,12.00,72,,,,,,299.7151299,TE7,,,,,
,73,23212,Kyren Williams,25,5,RB,LAR,12.17,73,,,,,,295.6162402,RB20,,,,,
,74,17922,Jared Goff,31,11,QB,DET,12.33,74,,,,,,291.9524165,QB21,,,,,
,75,24933,Brian Thomas Jr.,23,3,WR,JAX,12.50,75,,,,,,290.0268502,WR27,,,,,
,76,9038,Matthew Stafford,38,18,QB,LAR,12.67,76,,,,,,288.542174,QB22,,,,,
,77,20889,Kyler Murray,28,8,QB,MIN,12.83,77,,,,,,286.6100591,QB23,,,,,
,78,20824,Josh Jacobs,28,8,RB,GB,13.00,78,,,,,,285.7539856,RB21,,,,,
,79,23118,Malik Willis,26,5,QB,MIA,13.17,79,,,,,,285.3606717,QB24,,,,,
,80,19812,Sam Darnold,28,9,QB,SEA,13.33,80,,,,,,279.442983,QB25,,,,,
,81,20841,Daniel Jones,28,8,QB,IND,13.50,81,,,,,,279.3952655,QB26,,,,,
,82,21042,A.J. Brown,28,8,WR,PHI,13.67,82,,,,,,279.2101204,WR28,,,,,
,83,26762,KC Concepcion,21,0,WR,CLE,13.83,83,,,,,,279.1204323,WR29,,,,,
,84,22508,Kyle Pitts Sr.,25,6,TE,ATL,14.00,84,,,,,,278.6974151,TE8,,,,,
