"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"37","Hunter Henry","NE","TE","17","2025","84","16.7","60","768","17.2","12.80","9.14","45.2","71.4","7","22.6","9","21","0","10.5","178.8","178.8","118.8"
"38","Quentin Johnston","LAC","WR","14","2025","79","17.2","51","735","22.0","14.41","9.30","52.5","64.6","8","34.8","7","14","1","12.3","172.2","172.2","121.2"
"39","Harold Fannin","CLV","TE","16","2025","104","19.4","72","731","24.0","10.15","7.03","45.7","69.2","6","37.5","3","10","0","11.7","187.4","187.4","115.4"
"40","Deebo Samuel","WAS","WR","16","2025","98","22.4","72","727","23.4","10.10","7.42","45.4","73.5","5","27.8","7","12","1","11.8","188.2","188.2","116.2"
"41","Romeo Doubs","GB","WR","16","2025","84","17.6","55","724","19.0","13.16","8.62","45.3","65.5","6","23.1","8","17","1","10.3","165.4","165.4","110.4"
"42","Khalil Shakir","BUF","WR","16","2025","91","19.5","72","719","19.3","9.99","7.90","44.9","79.1","4","16.0","4","12","1","10.5","167.4","167.4","95.4"
"43","Colston Loveland","CHI","TE","16","2025","80","14.9","58","713","18.9","12.29","8.91","44.6","72.5","6","22.2","5","13","0","10.3","165.1","165.1","107.1"
"44","Troy Franklin","DEN","WR","17","2025","102","16.6","65","709","18.0","10.91","6.95","41.7","63.7","6","24.0","8","18","1","10.5","178.1","178.1","113.1"
"45","Brian Thomas","JAX","WR","14","2025","88","18.0","48","707","20.4","14.73","8.03","50.5","54.5","2","8.3","5","7","0","9.9","138.8","138.8","90.8"
"46","Tre Tucker","LV","WR","17","2025","90","17.5","57","696","21.0","12.21","7.73","40.9","63.3","5","25.0","4","9","0","9.5","161.7","161.7","104.7"
"47","Rashid Shaheed","SEA, NO","WR","18","2025","89","15.5","59","687","17.7","11.64","7.72","38.2","66.3","2","11.1","2","9","1","8.1","145.6","145.6","86.6"
"48","DJ Moore","CHI","WR","17","2025","82","14.3","50","682","17.1","13.64","8.32","40.1","61.0","6","21.4","6","10","1","10.1","171.2","171.2","121.2"
"49","Brock Bowers","LV","TE","12","2025","83","21.7","64","680","26.8","10.63","8.19","56.7","77.1","7","38.9","9","17","0","14.7","176.2","176.2","112.2"
"50","Oronde Gadsden","LAC","TE","15","2025","68","13.4","49","664","19.6","13.55","9.76","44.3","72.1","3","14.3","5","15","1","8.8","132.4","132.4","83.4"
"51","Rome Odunze","CHI","WR","12","2025","88","21.9","44","661","23.9","15.02","7.51","55.1","50.0","6","33.3","5","11","0","12.2","146.1","146.1","102.1"
