"Player Details","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"163","Chris Moore","WAS","WR","14","2025","21","5.5","11","207","7.4","18.82","9.86","14.8","52.4","1","6.3","0","1","0","2.8","38.6","38.6","27.6"
"164","Jayden Reed","GB","WR","7","2025","22","12.4","19","207","13.6","10.89","9.41","29.6","86.4","1","10.0","0","4","0","6.9","48.5","48.5","29.5"
"165","Greg Dortch","ARZ","WR","12","2025","33","7.1","29","206","6.5","7.10","6.24","17.2","87.9","3","15.8","0","7","0","6.3","75.1","75.1","46.1"
"166","Luke McCaffrey","WAS","WR","9","2025","15","5.9","11","203","11.1","18.45","13.53","22.6","73.3","3","25.0","1","2","0","5.7","51.3","51.3","40.3"
"167","Jalen Tolbert","DAL","WR","13","2025","32","6.8","18","203","5.9","11.28","6.34","15.6","56.3","1","3.8","1","4","0","3.6","46.3","46.3","28.3"
"168","Tyler Johnson","NYJ","WR","12","2025","16","4.6","12","197","10.2","16.42","12.31","16.4","75.0","1","9.1","0","2","0","3.1","37.7","37.7","25.7"
"169","Adam Trautman","DEN","TE","17","2025","23","3.8","20","195","5.0","9.75","8.48","11.5","87.0","1","4.0","1","1","0","2.7","45.5","45.5","25.5"
"170","Isaiah Williams","NYJ","WR","15","2025","34","8.0","26","193","8.5","7.42","5.68","12.9","76.5","0","0.0","0","1","0","3.2","48.7","48.7","22.7"
"171","Tutu Atwell","LA","WR","10","2025","15","3.9","6","192","6.3","32.00","12.80","19.2","40.0","1","3.7","0","1","0","3.1","31.2","31.2","25.2"
"172","David Sills","ATL","WR","17","2025","34","6.2","18","191","5.2","10.61","5.62","11.2","52.9","2","10.5","3","6","0","2.9","49.1","49.1","31.1"
"173","Ja'Tavion Sanders","CAR","TE","13","2025","34","8.7","29","190","7.8","6.55","5.59","14.6","85.3","1","6.7","2","10","0","4.2","54.0","54.0","25.0"
"174","Tim Patrick","JAX","WR","16","2025","24","4.5","15","187","4.9","12.47","7.79","11.7","62.5","3","10.3","4","9","0","3.2","51.7","51.7","36.7"
"175","Jackson Hawes","BUF","TE","17","2025","19","3.8","16","187","4.7","11.69","9.84","11.0","84.2","3","10.3","2","3","0","3.1","52.7","52.7","36.7"
"176","Adam Thielen","MIN, PIT","WR","16","2025","34","6.5","19","186","5.4","9.79","5.47","11.6","55.9","0","0.0","1","3","0","2.5","39.6","39.6","20.6"
"177","Zay Jones","ARZ","WR","8","2025","16","5.8","12","183","9.7","15.25","11.44","22.9","75.0","0","0.0","1","2","0","3.8","30.3","30.3","18.3"
"178","Elijah Arroyo","SEA","TE","13","2025","25","7.0","15","179","5.6","11.93","7.16","13.8","60.0","1","4.5","3","5","1","2.9","37.9","37.9","22.9"
"179","Jeremy Ruckert","NYJ","TE","17","2025","28","5.7","23","179","6.4","7.78","6.39","10.5","82.1","1","6.7","2","3","0","2.8","46.9","46.9","23.9"
"180","Noah Gray","KC","TE","16","2025","33","6.0","21","178","4.8","8.48","5.39","11.1","63.6","0","0.0","1","2","0","2.4","38.8","38.8","17.8"
"181","Jalen McMillan","TB","WR","4","2025","15","11.9","12","178","18.3","14.83","11.87","44.5","80.0","0","0.0","0","1","0","7.5","29.9","29.9","17.9"
"182","Mitchell Evans","CAR","TE","17","2025","22","4.3","19","171","5.2","9.00","7.77","10.1","86.4","2","8.3","3","3","0","2.8","48.2","48.2","29.2"
"183","Jordan Whittington","LA","WR","17","2025","24","4.0","18","171","3.6","9.50","7.13","10.1","75.0","0","0.0","0","1","0","2.1","36.3","36.3","18.3"
"184","Tanner Hudson","CIN","TE","13","2025","24","4.8","19","168","5.0","8.84","7.00","12.9","79.2","2","7.1","4","6","0","3.7","47.8","47.8","28.8"
"185","Roman Wilson","PIT","WR","13","2025","20","5.0","12","166","6.5","13.83","8.30","12.8","60.0","2","9.5","1","1","1","3.0","39.6","39.6","27.6"
"186","Tory Horton","SEA","WR","8","2025","22","10.0","13","161","7.7","12.38","7.32","20.1","59.1","5","31.3","3","4","0","7.4","59.1","59.1","46.1"
"187","Josh Oliver","MIN","TE","15","2025","18","4.3","15","160","5.7","10.67","8.89","10.7","83.3","4","26.7","2","5","0","3.7","55.0","55.0","40.0"
"188","Brycen Tremayne","CAR","WR","16","2025","17","3.5","14","160","5.0","11.43","9.41","10.0","82.4","0","0.0","0","1","1","1.9","30.0","30.0","16.0"
"189","Lil'Jordan Humphrey","NYG, DEN","WR","10","2025","23","6.6","13","156","6.3","12.00","6.78","15.6","56.5","1","8.3","3","4","0","3.5","34.6","34.6","21.6"
"190","Gunner Olszewski","NYG","WR","16","2025","13","2.7","10","145","4.2","14.50","11.15","9.1","76.9","1","5.3","0","2","0","2.2","35.8","35.8","25.8"
"191","Charlie Kolar","BLT","TE","17","2025","12","2.8","10","142","4.3","14.20","11.83","8.4","83.3","2","8.7","2","2","0","2.1","36.2","36.2","26.2"
"192","Julian Hill","MIA","TE","14","2025","20","5.1","15","140","5.2","9.33","7.00","10.0","75.0","0","0.0","0","3","0","2.2","31.0","31.0","16.0"
"193","Kevin Austin","NO","WR","8","2025","23","8.0","13","140","6.8","10.77","6.09","17.5","56.5","1","11.1","1","2","0","4.1","33.0","33.0","20.0"
"194","Theo Wease","MIA","WR","3","2025","10","13.0","6","139","24.4","23.17","13.90","46.3","60.0","1","33.3","0","1","0","8.6","25.9","25.9","19.9"
"195","Devontez Walker","BLT","WR","11","2025","8","3.1","6","136","6.3","22.67","17.00","12.4","75.0","3","21.4","1","1","0","3.4","37.6","37.6","31.6"
"196","Dont'e Thornton","LV","WR","15","2025","30","6.8","10","135","4.8","13.50","4.50","9.0","33.3","0","0.0","0","2","0","1.6","23.5","23.5","13.5"
"197","Luke Schoonmaker","DAL","TE","17","2025","23","3.7","14","132","2.8","9.43","5.74","7.8","60.9","0","0.0","0","2","0","1.6","27.2","27.2","13.2"
"198","Treylon Burks","WAS","WR","8","2025","23","11.2","10","130","9.0","13.00","5.65","16.3","43.5","1","16.7","4","5","0","3.6","29.0","29.0","19.0"
"199","Gabe Davis","BUF","WR","6","2025","18","10.1","12","129","8.8","10.75","7.17","21.5","66.7","1","9.1","6","6","0","5.2","30.9","30.9","18.9"
"200","Dante Pettis","NO","WR","8","2025","11","4.0","9","127","6.0","14.11","11.55","15.9","81.8","0","0.0","0","0","1","2.6","20.7","20.7","11.7"
"201","Marquez Valdes-Scantling","PIT, SF","WR","10","2025","29","7.4","14","120","4.3","8.57","4.14","12.0","48.3","1","7.7","3","5","1","3.2","32.0","32.0","18.0"
"202","Mo Alie-Cox","IND","TE","17","2025","19","3.5","13","117","2.9","9.00","6.16","6.9","68.4","1","4.0","2","6","0","1.8","30.7","30.7","17.7"
"203","Mitchell Tinsley","CIN","WR","17","2025","24","3.8","8","116","2.7","14.50","4.83","6.8","33.3","2","5.6","1","5","0","1.9","31.6","31.6","23.6"
"204","Isaiah Hodgins","NYG","WR","7","2025","17","8.4","10","115","7.9","11.50","6.76","16.4","58.8","1","12.5","1","3","0","3.9","27.5","27.5","17.5"
"205","Ian Thomas","LV","TE","15","2025","13","2.8","13","114","3.7","8.77","8.77","7.6","100.0","0","0.0","0","0","0","1.6","24.4","24.4","11.4"
"206","Ben Sinnott","WAS","TE","16","2025","13","3.0","11","114","3.7","10.36","8.77","7.1","84.6","1","5.6","1","1","0","1.8","28.4","28.4","17.4"
"207","Elijah Moore","BUF","WR","9","2025","17","6.3","9","112","5.1","12.44","6.59","12.4","52.9","0","0.0","0","0","0","3.2","28.6","28.6","19.6"
"208","Johnny Mundt","JAX","TE","16","2025","18","3.4","9","111","2.9","12.33","6.17","6.9","50.0","0","0.0","0","0","0","1.3","20.1","20.1","11.1"
"209","Brock Wright","DET","TE","11","2025","18","5.1","14","108","3.9","7.71","6.00","9.8","77.8","2","8.3","2","2","0","3.3","36.8","36.8","22.8"
"210","Jimmy Horn","CAR","WR","13","2025","14","3.8","11","108","4.3","9.82","7.71","8.3","78.6","0","0.0","0","2","0","2.2","28.7","28.7","17.7"
"211","Jamari Thrash","CLV","WR","9","2025","14","4.2","10","107","6.4","10.70","7.64","11.9","71.4","0","0.0","0","1","0","2.3","20.7","20.7","10.7"
"212","Bo Melton","GB","WR","9","2025","12","5.0","4","107","6.0","26.75","8.92","11.9","33.3","1","7.7","0","0","0","2.7","23.9","23.9","19.9"
"213","Drew Sample","CIN","TE","17","2025","17","2.7","15","106","2.5","7.07","6.24","6.2","88.2","1","2.8","1","1","0","1.9","31.9","31.9","16.9"
"214","Ashton Dulin","IND","WR","12","2025","10","2.6","5","106","3.5","21.20","10.60","8.8","50.0","0","0.0","0","1","0","1.7","20.0","20.0","15.0"
"215","John Bates","WAS","TE","15","2025","15","3.6","11","103","3.5","9.36","6.87","6.9","73.3","1","6.3","1","1","0","1.8","27.3","27.3","16.3"
"216","Josh Reynolds","NYJ","WR","5","2025","21","14.4","11","101","10.7","9.18","4.81","20.2","52.4","0","0.0","1","1","0","4.6","23.1","23.1","12.1"
"217","Tyler Conklin","LAC","TE","10","2025","10","2.9","7","101","4.4","14.43","10.10","10.1","70.0","0","0.0","0","0","1","1.7","17.3","17.3","10.3"
"218","Will Dissly","LAC","TE","9","2025","15","4.8","11","97","4.3","8.82","6.47","10.8","73.3","0","0.0","0","1","0","2.3","20.7","20.7","9.7"
"219","Casey Washington","ATL","WR","7","2025","14","6.2","6","94","5.6","15.67","6.71","13.4","42.9","0","0.0","0","0","0","2.2","15.4","15.4","9.4"
"220","Darius Cooper","PHI","WR","13","2025","11","2.9","9","92","3.7","10.22","8.36","7.1","81.8","0","0.0","0","0","0","1.4","18.2","18.2","9.2"
"221","Konata Mumpfield","LA","WR","17","2025","22","3.7","10","92","2.0","9.20","4.18","5.4","45.5","1","2.2","1","4","0","1.5","25.2","25.2","15.2"
"222","Taysom Hill","NO","TE","13","2025","16","3.6","11","91","2.8","8.27","5.69","7.0","68.8","0","0.0","0","0","0","3.3","42.8","42.8","31.8"
"223","Tanner Conner","MIA","TE","9","2025","15","5.2","9","91","4.9","10.11","6.07","10.1","60.0","0","0.0","1","3","0","2.0","18.1","18.1","9.1"
"224","Cody White","SEA","WR","9","2025","4","1.6","3","90","4.3","30.00","22.50","10.0","75.0","1","8.3","0","0","0","2.0","18.0","18.0","15.0"
"225","Brevyn Spann-Ford","DAL","TE","17","2025","13","2.1","9","90","1.9","10.00","6.92","5.3","69.2","1","3.2","2","2","0","1.4","24.0","24.0","15.0"
"226","Nick Westbrook-Ikhine","MIA","WR","15","2025","18","4.2","11","89","3.1","8.09","4.94","5.9","61.1","0","0.0","1","2","0","1.3","19.9","19.9","8.9"
"227","Hunter Renfrow","CAR","WR","6","2025","23","11.2","15","89","7.4","5.93","3.87","14.8","65.2","2","18.2","3","6","0","6.0","35.9","35.9","20.9"
"228","Skyy Moore","SF","WR","17","2025","7","1.2","5","87","2.0","17.40","12.43","5.1","71.4","0","0.0","0","0","0","0.9","14.8","14.8","9.8"
"229","Jahdae Walker","CHI","WR","7","2025","10","3.9","6","87","4.9","14.50","8.70","12.4","60.0","2","15.4","2","2","0","3.8","26.7","26.7","20.7"
"230","Malik Heath","GB","WR","11","2025","7","2.1","6","86","3.3","14.33","12.29","7.8","85.7","0","0.0","0","0","0","1.3","14.6","14.6","8.6"
"231","Luke Farrell","SF","TE","17","2025","12","2.1","11","85","2.0","7.73","7.08","5.0","91.7","2","6.1","2","4","1","1.8","30.5","30.5","19.5"
"232","Hunter Long","JAX","TE","9","2025","16","4.9","12","85","4.1","7.08","5.31","9.4","75.0","2","18.2","3","4","1","3.6","32.5","32.5","20.5"
"233","Noah Brown","WAS","WR","4","2025","10","8.7","5","83","11.0","16.60","8.30","20.8","50.0","0","0.0","0","2","0","3.3","13.3","13.3","8.3"
"234","Curtis Samuel","BUF","WR","6","2025","8","4.7","7","81","5.2","11.57","10.13","13.5","87.5","1","9.1","1","1","0","3.5","21.1","21.1","14.1"
"235","Malachi Corley","CLV","WR","13","2025","12","3.0","11","79","3.4","7.18","6.58","6.1","91.7","0","0.0","1","1","0","2.4","31.6","31.6","20.6"
"236","Savion Williams","GB","WR","12","2025","10","2.8","10","78","2.8","7.80","7.80","6.5","100.0","1","5.9","1","4","0","2.2","26.5","26.5","16.5"
"237","Grant Calcaterra","PHI","TE","15","2025","13","2.9","9","76","2.6","8.44","5.85","5.1","69.2","1","4.5","1","3","0","1.5","22.6","22.6","13.6"
"238","Mason Tipton","NO","WR","13","2025","17","3.8","11","76","2.5","6.91","4.47","5.8","64.7","0","0.0","0","2","0","1.6","20.4","20.4","9.4"
"239","Cade Stover","HST","TE","9","2025","16","5.6","12","76","3.8","6.33","4.75","8.4","75.0","0","0.0","2","3","0","2.2","19.9","19.9","7.9"
"240","Efton Chism","NE","WR","8","2025","3","1.4","3","75","3.6","25.00","25.00","9.4","100.0","1","5.6","1","1","0","2.1","16.5","16.5","13.5"
"241","John FitzPatrick","GB","TE","15","2025","15","3.3","12","72","2.0","6.00","4.80","4.8","80.0","1","4.0","3","4","0","1.7","25.2","25.2","13.2"
"242","Gage Larvadain","CLV","WR","13","2025","13","3.3","7","71","3.1","10.14","5.46","5.5","53.8","0","0.0","0","0","0","1.1","14.4","14.4","7.4"
"243","Allen Lazard","NYJ","WR","10","2025","18","5.5","10","70","3.6","7.00","3.89","7.0","55.6","1","9.1","4","6","0","2.3","23.0","23.0","13.0"
"244","Ray-Ray McCloud","ATL, NYG","WR","6","2025","13","6.5","7","69","4.8","9.86","5.31","11.5","53.8","0","0.0","0","1","0","2.3","13.9","13.9","6.9"
"245","Ben Skowronek","PIT","WR","16","2025","6","1.2","4","69","2.0","17.25","11.50","4.3","66.7","1","3.8","0","1","0","1.1","16.9","16.9","12.9"
"246","Xavier Weaver","ARZ","WR","9","2025","13","3.7","7","67","2.7","9.57","5.15","7.4","53.8","0","0.0","0","3","0","1.5","13.7","13.7","6.7"
"247","James Proche","TEN","WR","9","2025","10","3.4","6","65","3.8","10.83","6.50","7.2","60.0","0","0.0","0","0","0","1.4","12.5","12.5","6.5"
"248","Kameron Johnson","TB","WR","17","2025","7","1.3","4","64","1.7","16.00","9.14","3.8","57.1","1","3.8","0","0","0","1.0","17.7","17.7","13.7"
"249","Dee Eskridge","MIA","WR","13","2025","6","1.5","4","62","2.3","15.50","10.33","4.8","66.7","0","0.0","0","0","0","0.8","10.2","10.2","6.2"
"250","Scott Miller","PIT","WR","13","2025","12","2.8","9","62","2.1","6.89","5.17","4.8","75.0","0","0.0","0","2","0","1.2","15.2","15.2","6.2"
"251","Foster Moreau","NO","TE","11","2025","10","2.6","7","59","2.2","8.43","5.90","5.4","70.0","0","0.0","0","1","0","1.2","12.9","12.9","5.9"
"252","Shedrick Jackson","LV","WR","5","2025","5","3.8","4","56","8.6","14.00","11.20","11.2","80.0","1","33.3","0","0","0","3.2","15.9","15.9","11.9"
"253","Quintin Morris","JAX","TE","13","2025","7","1.7","6","55","1.8","9.17","7.86","4.2","85.7","1","3.7","1","1","0","1.3","17.5","17.5","11.5"
"254","Robbie Chosen","WAS","WR","3","2025","9","10.7","5","53","8.2","10.60","5.89","17.7","55.6","0","0.0","0","0","0","3.4","10.3","10.3","5.3"
"255","Anthony Firkser","DET","TE","7","2025","8","3.0","8","53","2.6","6.63","6.63","7.6","100.0","0","0.0","0","3","0","1.9","13.3","13.3","5.3"
"256","Stone Smartt","NYJ","TE","8","2025","9","4.1","7","52","5.1","7.43","5.78","6.5","77.8","0","0.0","0","0","0","1.5","12.2","12.2","5.2"
"257","Arian Smith","NYJ","WR","16","2025","15","3.3","7","52","2.0","7.43","3.47","3.3","46.7","0","0.0","0","0","0","0.8","13.5","13.5","6.5"
"258","KeAndre Lambert-Smith","LAC","WR","10","2025","12","3.6","5","51","2.2","10.20","4.25","5.1","41.7","1","6.7","0","2","0","1.6","16.1","16.1","11.1"
"259","Jalen Brooks","DAL, ARZ","WR","6","2025","6","2.8","3","51","3.5","17.00","8.50","8.5","50.0","0","0.0","0","0","0","1.4","8.1","8.1","5.1"
"260","Michael Bandy","DEN","WR","4","2025","4","2.9","4","50","6.2","12.50","12.50","12.5","100.0","1","12.5","0","1","0","3.8","15.0","15.0","11.0"
"261","Brenden Bates","CLV, HST","TE","9","2025","5","1.9","4","48","2.9","12.00","9.60","5.3","80.0","0","0.0","1","1","0","1.0","8.8","8.8","4.8"
"262","Charlie Woerner","ATL","TE","17","2025","8","1.5","8","48","1.3","6.00","6.00","2.8","100.0","0","0.0","0","1","0","0.8","12.8","12.8","4.8"
"263","Dareke Young","SEA","WR","9","2025","3","1.2","2","48","2.1","24.00","16.00","5.3","66.7","0","0.0","0","0","0","0.8","6.8","6.8","4.8"
"264","Mason Kinsey","TEN","WR","10","2025","4","1.2","2","48","2.4","24.00","12.00","4.8","50.0","0","0.0","0","0","0","0.7","6.8","6.8","4.8"
"265","Nate Adkins","DEN","TE","9","2025","10","3.1","6","48","2.2","8.00","4.80","5.3","60.0","1","6.3","1","2","0","1.9","16.8","16.8","10.8"
"266","Austin Trammell","JAX","WR","6","2025","9","5.4","3","46","3.6","15.33","5.11","7.7","33.3","0","0.0","0","1","0","1.3","7.6","7.6","4.6"
"267","Jack Stoll","NO","TE","15","2025","10","1.9","6","46","1.3","7.67","4.60","3.1","60.0","1","6.3","0","1","0","1.1","16.6","16.6","10.6"
"268","Tylan Wallace","BLT","WR","14","2025","8","2.3","4","45","1.6","11.25","5.63","3.2","50.0","1","4.5","1","2","0","1.0","14.5","14.5","10.5"
"269","Cedrick Wilson","MIA","WR","10","2025","9","3.5","5","44","2.3","8.80","4.89","4.4","55.6","0","0.0","2","3","0","0.9","9.4","9.4","4.4"
"270","Dylan Drummond","ATL","WR","9","2025","11","3.9","7","42","2.3","6.00","3.82","4.7","63.6","0","0.0","1","3","0","1.2","11.2","11.2","4.2"
"271","Xavier Restrepo","TEN","WR","2","2025","6","7.5","3","41","10.3","13.67","6.83","20.5","50.0","0","0.0","0","1","0","3.6","7.1","7.1","4.1"
"272","Kylen Granson","PHI","TE","17","2025","9","1.8","7","40","1.1","5.71","4.44","2.4","77.8","0","0.0","0","1","0","0.6","11.0","11.0","4.0"
"273","Braxton Berrios","HST","WR","4","2025","8","4.6","6","37","3.5","6.17","4.63","9.3","75.0","0","0.0","0","2","0","2.4","9.7","9.7","3.7"
"274","Tahj Washington","MIA","WR","6","2025","5","3.0","3","37","3.2","12.33","7.40","6.2","60.0","0","0.0","0","1","1","1.0","5.7","5.7","2.7"
"275","Albert Okwuegbunam","LV","TE","1","2025","6","16.7","5","36","15.8","7.20","6.00","36.0","83.3","0","0.0","0","1","0","8.6","8.6","8.6","3.6"
"276","Josh Whyle","GB","TE","8","2025","6","2.8","5","36","2.3","7.20","6.00","4.5","83.3","1","8.3","1","1","0","1.8","14.6","14.6","9.6"
"277","Tom Kennedy","DET","WR","6","2025","4","1.8","4","36","2.0","9.00","9.00","6.0","100.0","0","0.0","0","0","0","1.3","7.6","7.6","3.6"
"278","Keleki Latu","BUF","TE","5","2025","4","2.6","4","35","2.9","8.75","8.75","7.0","100.0","0","0.0","0","0","0","1.5","7.5","7.5","3.5"
"279","Jalin Hyatt","NYG","WR","8","2025","14","5.6","5","35","2.2","7.00","2.50","4.4","35.7","0","0.0","0","1","0","1.1","8.5","8.5","3.5"
"280","Ryan Miller","TB","WR","13","2025","4","0.9","2","34","1.2","17.00","8.50","2.6","50.0","1","5.0","0","1","0","0.9","11.4","11.4","9.4"
"281","Eric Saubert","SEA","TE","11","2025","5","1.6","4","31","1.2","7.75","6.20","2.8","80.0","0","0.0","0","3","0","0.8","9.1","9.1","5.1"
"282","KhaDarel Hodge","ATL","WR","11","2025","10","2.7","3","31","1.2","10.33","3.10","2.8","30.0","0","0.0","0","0","0","0.6","6.1","6.1","3.1"
"283","David Martin-Robinson","TEN","TE","15","2025","5","1.0","4","30","1.0","7.50","6.00","2.0","80.0","1","7.1","1","1","0","0.9","13.0","13.0","9.0"
"284","Justin Watson","HST","WR","3","2025","4","4.8","3","30","5.0","10.00","7.50","10.0","75.0","0","0.0","0","2","0","2.0","6.0","6.0","3.0"
"285","Ben Sims","GB, MIN","TE","9","2025","6","2.6","3","30","1.9","10.00","5.00","3.3","50.0","0","0.0","0","1","0","0.7","6.0","6.0","3.0"
"286","James Mitchell","CAR","TE","5","2025","3","2.1","3","28","2.6","9.33","9.33","5.6","100.0","0","0.0","0","0","0","1.2","5.8","5.8","2.8"
"287","Deven Thompkins","ATL","WR","7","2025","3","1.3","3","27","1.8","9.00","9.00","3.9","100.0","0","0.0","0","0","0","0.9","6.2","6.2","3.2"
"288","Andrew Ogletree","IND","TE","15","2025","6","1.2","4","27","0.7","6.75","4.50","1.8","66.7","1","4.5","1","2","0","0.8","12.7","12.7","8.7"
"289","Jordan Watkins","SF","WR","4","2025","3","2.3","2","26","2.5","13.00","8.67","6.5","66.7","0","0.0","0","0","0","1.2","4.6","4.6","2.6"
"290","Devin Duvernay","CHI","WR","17","2025","5","0.9","2","26","0.7","13.00","5.20","1.5","40.0","0","0.0","1","1","0","0.3","4.6","4.6","2.6"
"291","Jonathan Mingo","DAL","WR","6","2025","4","1.9","1","25","1.4","25.00","6.25","4.2","25.0","0","0.0","0","0","0","0.6","3.5","3.5","2.5"
"292","Beaux Collins","NYG","WR","9","2025","6","2.1","2","25","1.3","12.50","4.17","2.8","33.3","0","0.0","1","1","0","0.5","4.5","4.5","2.5"
"293","Tai Felton","MIN","WR","14","2025","3","0.7","3","25","0.9","8.33","8.33","1.8","100.0","0","0.0","0","0","0","0.4","5.5","5.5","2.5"
"294","Durham Smythe","CHI","TE","17","2025","6","1.0","4","25","0.6","6.25","4.17","1.5","66.7","0","0.0","0","0","0","0.4","6.5","6.5","2.5"
"295","Jacoby Jones","WAS","WR","1","2025","1","3.3","1","25","11.7","25.00","25.00","25.0","100.0","0","0.0","0","0","0","3.5","3.5","3.5","2.5"
"296","Ronnie Bell","NO","WR","2","2025","4","6.5","2","23","3.9","11.50","5.75","11.5","50.0","1","33.3","0","2","0","5.2","10.3","10.3","8.3"
"297","Tay Martin","WAS","WR","3","2025","2","2.5","2","23","3.8","11.50","11.50","7.7","100.0","0","0.0","0","0","0","1.4","4.3","4.3","2.3"
"298","Nikko Remigio","KC","WR","14","2025","1","0.2","1","21","0.6","21.00","21.00","1.5","100.0","0","0.0","0","0","0","0.3","4.2","4.2","3.2"
"299","Trent Sherfield","DEN, ARZ","WR","12","2025","5","1.2","3","21","0.8","7.00","4.20","1.8","60.0","0","0.0","0","2","0","0.4","5.1","5.1","2.1"
"300","Josiah Deguara","ARZ","TE","12","2025","4","0.9","3","21","0.6","7.00","5.25","1.8","75.0","1","4.5","1","1","0","0.9","11.1","11.1","8.1"
"301","Connor Heyward","PIT","TE","16","2025","4","0.8","3","21","0.6","7.00","5.25","1.3","75.0","1","3.8","1","2","0","1.7","27.4","27.4","24.4"
"302","Jake Bobo","SEA","WR","11","2025","2","0.6","2","20","0.7","10.00","10.00","1.8","100.0","0","0.0","0","0","0","0.4","4.0","4.0","2.0"
"303","Jared Wayne","HST","WR","1","2025","2","5.1","2","20","6.3","10.00","10.00","20.0","100.0","0","0.0","0","0","0","4.0","4.0","4.0","2.0"
"304","Britain Covey","PHI","WR","6","2025","4","2.1","2","20","1.6","10.00","5.00","3.3","50.0","0","0.0","0","0","0","0.7","4.0","4.0","2.0"
"305","Shane Zylstra","DET","TE","5","2025","5","2.4","3","20","1.4","6.67","4.00","4.0","60.0","0","0.0","1","1","0","1.0","5.0","5.0","2.0"
"306","Tucker Fisk","LAC","TE","10","2025","3","0.9","2","19","0.8","9.50","6.33","1.9","66.7","0","0.0","0","0","0","0.4","3.9","3.9","1.9"
"307","Colson Yankoff","WAS","TE","14","2025","3","0.8","2","18","0.6","9.00","6.00","1.3","66.7","0","0.0","0","0","0","0.3","3.8","3.8","1.8"
"308","Tip Reiman","ARZ","TE","4","2025","5","3.6","3","18","2.4","6.00","3.60","4.5","60.0","0","0.0","0","0","0","1.2","4.8","4.8","1.8"
"309","Zaire Mitchell-Paden","NO, BLT","TE","8","2025","3","1.3","2","17","1.0","8.50","5.67","2.1","66.7","0","0.0","1","1","0","0.5","3.7","3.7","1.7"
"310","Will Mallory","IND","TE","2","2025","1","1.6","1","16","4.3","16.00","16.00","8.0","100.0","0","0.0","0","0","0","1.3","2.6","2.6","1.6"
"311","Lucas Krull","DEN","TE","3","2025","4","4.2","2","15","2.8","7.50","3.75","5.0","50.0","0","0.0","0","0","0","1.2","3.5","3.5","1.5"
"312","Tim Jones","MIN, JAX","WR","4","2025","1","1.0","1","15","2.2","15.00","15.00","3.8","100.0","0","0.0","0","0","0","0.6","2.5","2.5","1.5"
"313","Jakobie Keeney-James","GB","WR","1","2025","2","18.2","2","15","44.1","7.50","7.50","15.0","100.0","0","0.0","0","0","0","3.5","3.5","3.5","1.5"
"314","Ben Yurosek","MIN","TE","12","2025","3","0.9","2","14","0.6","7.00","4.67","1.2","66.7","0","0.0","0","0","0","0.3","3.4","3.4","1.4"
"315","Alex Bachman","LV","WR","13","2025","3","0.8","2","12","0.4","6.00","4.00","0.9","66.7","0","0.0","0","0","0","0.2","3.2","3.2","1.2"
"316","Sal Cannella","CLV","TE","2","2025","4","8.9","2","11","3.7","5.50","2.75","5.5","50.0","0","0.0","0","0","0","1.6","3.1","3.1","1.1"
"317","Payne Durham","TB","TE","17","2025","4","0.7","1","11","0.3","11.00","2.75","0.6","25.0","0","0.0","0","1","0","0.1","2.1","2.1","1.1"
"318","Moliki Matavao","NO","TE","6","2025","2","0.9","2","10","0.7","5.00","5.00","1.7","100.0","0","0.0","0","0","0","0.5","3.0","3.0","1.0"
"319","Quentin Skinner","NYJ","WR","1","2025","1","4.5","1","10","16.7","10.00","10.00","10.0","100.0","0","0.0","0","0","0","4.0","4.0","4.0","3.0"
"320","Derius Davis","LAC","WR","11","2025","3","0.8","2","10","0.4","5.00","3.33","0.9","66.7","0","0.0","0","0","0","0.3","3.5","3.5","1.5"
"321","Bryce Oliver","TEN","WR","3","2025","1","1.1","1","8","1.9","8.00","8.00","2.7","100.0","0","0.0","0","0","0","0.6","1.8","1.8","0.8"
"322","Andre Baccellia","ARZ","WR","5","2025","4","1.7","2","8","0.5","4.00","2.00","1.6","50.0","0","0.0","0","2","0","0.6","2.8","2.8","0.8"
"323","Harrison Bryant","HST","TE","12","2025","6","1.4","2","7","0.2","3.50","1.17","0.6","33.3","0","0.0","0","0","0","0.2","2.7","2.7","0.7"
"324","Ross Dwelley","DET","TE","10","2025","4","1.3","2","7","0.3","3.50","1.75","0.7","50.0","0","0.0","1","2","0","0.3","2.7","2.7","0.7"
"325","Cam Grandy","CIN","TE","5","2025","2","1.2","2","7","0.6","3.50","3.50","1.4","100.0","0","0.0","0","0","1","0.5","2.7","2.7","0.7"
"326","Chris Manhertz","NYG","TE","17","2025","2","0.4","1","7","0.2","7.00","3.50","0.4","50.0","0","0.0","0","1","0","0.1","1.7","1.7","0.7"
"327","Xavier Gipson","NYJ, PHI","WR","6","2025","2","1.3","2","6","0.5","3.00","3.00","1.0","100.0","0","0.0","0","1","0","0.4","2.6","2.6","0.6"
"328","Devin Culp","TB","TE","11","2025","1","0.3","1","6","0.2","6.00","6.00","0.5","100.0","1","6.3","1","1","0","0.7","7.6","7.6","6.6"
"329","Anthony Gould","IND","WR","11","2025","2","0.6","2","6","0.2","3.00","3.00","0.5","100.0","0","0.0","0","0","0","0.2","2.6","2.6","0.6"
