"Player Details","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"86","Justice Hill","BLT","RB","10","2025","18","93","9.3","5.17","2","1","0","0","0","77.8","38.9","27.8","5.6","5.6","5.6","5.6","1","4.3","1","3.2","3","4.7","27","10.4","21","169","8.6","8.05","6.26","16.9","77.8","1","6.3","0","1","0","52.2","5.2","6.5","65.2"
"87","Raheim Sanders","CLV","RB","4","2025","27","92","23.0","3.41","1","0","0","0","0","77.8","59.3","29.6","3.7","","","","4","50.0","5","50.0","7","38.9","4","3.3","3","21","2.8","7.00","5.25","5.3","75.0","0","0.0","0","0","0","25.2","6.3","5.1","20.3"
"88","British Brooks","HST","FB","13","2025","17","78","6.0","4.59","0","0","0","0","0","76.5","58.8","41.2","5.9","5.9","5.9","","2","9.1","2","6.3","2","2.9","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","10.1","0.8","0.6","7.8"
"89","Braelon Allen","NYJ","RB","4","2025","18","76","19.0","4.22","1","1","0","0","0","72.2","55.6","38.9","5.6","5.6","","","0","0.0","3","37.5","6","40.0","3","2.8","2","17","2.3","8.50","5.67","4.3","66.7","0","0.0","2","2","0","20.0","5.0","4.1","16.3"
"90","Terrell Jennings","NE","RB","6","2025","23","73","12.2","3.17","1","0","0","0","0","82.6","43.5","17.4","8.7","","","","2","16.7","2","9.5","4","11.1","1","0.6","1","9","0.6","9.00","9.00","1.5","100.0","0","0.0","0","0","0","16.2","2.7","2.5","15.2"
"91","George Holani","SEA","RB","10","2025","22","73","7.3","3.32","1","1","0","0","0","81.8","59.1","36.4","","","","","0","0.0","1","3.2","5","7.7","2","0.7","2","15","0.6","7.50","7.50","1.5","100.0","0","0.0","0","0","0","18.0","1.8","1.6","15.8"
"92","Jerome Ford","CLV","RB","13","2025","24","73","5.6","3.04","0","0","0","0","0","83.3","41.7","25.0","8.3","","","","3","16.7","4","14.3","4","8.5","31","6.9","26","103","4.1","3.96","3.32","7.9","83.9","0","0.0","0","6","0","65.9","5.1","3.4","43.6"
"93","Hunter Luepke","DAL","FB","17","2025","16","71","4.2","4.44","0","0","0","0","0","93.8","75.0","50.0","","","","","0","0.0","0","0.0","1","1.1","15","2.4","13","109","2.3","8.38","7.27","6.4","86.7","1","3.2","2","4","0","34.1","2.0","2.2","37.0"
"94","Kaleb Johnson","PIT","RB","10","2025","28","69","6.9","2.46","0","0","0","0","0","82.1","46.4","21.4","","","","","0","0.0","0","0.0","4","8.5","2","0.7","1","9","0.4","9.00","4.50","0.9","50.0","0","0.0","0","0","0","20.1","2.0","0.9","8.8"
"95","Najee Harris","LAC","RB","3","2025","15","61","20.3","4.07","0","0","0","0","0","86.7","73.3","53.3","","","","","0","0.0","0","0.0","1","7.7","3","2.8","3","25","2.9","8.33","8.33","8.3","100.0","0","0.0","0","0","0","12.7","4.2","3.9","11.6"
"96","Nate Carter","ATL","RB","4","2025","9","60","15.0","6.67","0","1","0","0","0","100.0","77.8","55.6","22.2","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","4.4","1.1","1.3","5.0"
"97","AJ Dillon","PHI","RB","7","2025","12","60","8.6","5.00","0","0","0","0","0","91.7","75.0","50.0","8.3","","","","0","0.0","0","0.0","2","4.9","3","1.4","3","21","1.5","7.00","7.00","3.0","100.0","0","0.0","1","1","1","12.9","1.8","1.4","10.1"
"98","Ameer Abdullah","IND","RB","13","2025","14","60","4.6","4.29","1","0","0","0","0","92.9","71.4","28.6","7.1","","","","1","4.5","2","5.1","3","4.3","16","3.8","16","99","3.3","6.19","6.19","7.6","100.0","0","0.0","0","1","0","33.9","2.6","2.9","37.9"
"99","Corey Kiner","ARZ","RB","4","2025","12","58","14.5","4.83","0","0","0","0","0","100.0","91.7","41.7","","","","","0","0.0","1","50.0","2","66.7","3","2.1","2","15","1.6","7.50","5.00","3.8","66.7","0","0.0","0","1","0","12.9","3.2","2.3","9.3"
"100","Khalil Herbert","NYJ","RB","5","2025","16","52","10.4","3.25","0","0","0","0","0","93.8","68.8","25.0","","","","","0","0.0","1","12.5","3","18.8","3","1.8","1","4","0.5","4.00","1.33","0.8","33.3","0","0.0","0","1","0","15.7","3.1","1.3","6.6"
"101","Will Shipley","PHI","RB","15","2025","14","49","3.3","3.50","0","0","0","0","0","71.4","50.0","21.4","7.1","7.1","7.1","","0","0.0","0","0.0","0","0.0","10","2.3","9","56","1.8","6.22","5.60","3.7","90.0","0","0.0","0","1","0","22.5","1.5","1.3","19.5"
"102","Kene Nwangwu","NYJ","RB","10","2025","13","49","4.9","3.77","0","0","0","0","0","69.2","61.5","38.5","7.7","7.7","","","2","33.3","3","25.0","3","9.7","1","0.4","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","10.4","1.0","0.5","4.9"
"103","Evan Hull","NO","RB","6","2025","19","48","8.0","2.53","0","0","0","0","0","84.2","42.1","21.1","","","","","0","0.0","0","0.0","3","15.0","1","0.5","1","6","0.4","6.00","6.00","1.0","100.0","0","0.0","0","0","0","13.4","2.2","1.1","6.4"
"104","Ty Chandler","MIN","RB","3","2025","17","47","15.7","2.76","0","0","0","0","0","88.2","58.8","17.6","","","","","1","25.0","1","20.0","1","7.7","4","6.0","3","11","2.5","3.67","2.75","3.7","75.0","0","0.0","1","2","0","16.7","5.6","2.9","8.8"
"105","Hassan Haskins","LAC","RB","11","2025","17","47","4.3","2.76","0","0","0","0","0","82.4","47.1","17.6","5.9","","","","0","0.0","0","0.0","2","4.2","4","1.0","4","13","0.5","3.25","3.25","1.2","100.0","0","0.0","0","0","0","16.0","1.5","0.9","10.0"
"106","Ronnie Rivers","LA","RB","7","2025","9","46","6.6","5.11","0","0","0","0","0","100.0","77.8","66.7","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","4.4","0.6","0.7","4.6"
"107","Tahj Brooks","CIN","RB","12","2025","16","45","3.8","2.81","0","0","0","0","0","93.8","43.8","25.0","","","","","0","0.0","0","0.0","0","0.0","2","0.5","1","9","0.3","9.00","4.50","0.8","50.0","0","0.0","0","0","0","10.8","0.9","0.5","6.4"
"108","Adam Prentice","DEN","FB","17","2025","10","44","2.6","4.40","0","0","0","0","0","80.0","70.0","20.0","10.0","10.0","","","1","5.0","1","2.9","2","2.6","7","1.1","6","53","1.3","8.83","7.57","3.1","85.7","0","0.0","1","1","0","17.8","1.0","0.9","15.7"
"109","Austin Ekeler","WAS","RB","2","2025","14","43","21.5","3.07","0","0","0","0","0","78.6","71.4","28.6","","","","","0","0.0","0","0.0","2","28.6","7","9.7","5","38","8.8","7.60","5.43","19.0","71.4","0","0.0","0","0","0","18.9","9.5","6.6","13.1"
"110","Julius Chestnut","TEN","RB","17","2025","11","40","2.4","3.64","0","0","0","0","0","63.6","36.4","18.2","9.1","9.1","9.1","","2","16.7","2","6.9","4","8.9","2","0.4","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.8","0.7","0.2","4.0"
"111","Brittain Brown","CHI","RB","2","2025","5","37","18.5","7.40","1","0","0","0","0","100.0","80.0","60.0","20.0","20.0","20.0","","0","0.0","0","0.0","0","0.0","1","1.5","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","3.9","2.0","4.9","9.7"
"112","Dameon Pierce","HST, KC","RB","5","2025","14","36","7.2","2.57","0","0","0","0","0","100.0","28.6","7.1","7.1","","","","0","0.0","0","0.0","1","6.3","1","0.6","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","9.2","1.8","0.7","3.6"
"113","Trayveon Williams","CLV, LAC","RB","6","2025","10","36","6.0","3.60","0","0","0","0","0","80.0","60.0","30.0","10.0","","","","0","0.0","0","0.0","0","0.0","9","5.3","8","55","5.7","6.88","6.11","9.2","88.9","0","0.0","0","2","0","19.8","3.3","2.9","17.1"
"114","Zamir White","LV","RB","5","2025","12","32","6.4","2.67","0","0","0","0","0","83.3","58.3","33.3","","","","","0","0.0","0","0.0","0","0.0","6","3.7","4","24","2.1","6.00","4.00","4.8","66.7","0","0.0","0","0","0","14.8","3.0","1.9","9.6"
"115","Velus Jones","NO, SEA","RB","6","2025","4","32","5.3","8.00","0","0","0","0","0","100.0","50.0","25.0","25.0","25.0","25.0","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","2.0","0.3","0.5","3.2"
"116","D'Ernest Johnson","NE, ARZ","RB","6","2025","14","25","4.2","1.79","0","0","0","0","0","78.6","28.6","14.3","","","","","1","10.0","1","4.3","1","2.9","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","7.7","1.3","0.4","2.5"
"117","Dare Ogunbowale","HST","RB","17","2025","11","25","1.5","2.27","1","0","0","0","0","72.7","54.5","27.3","","","","","3","12.5","4","11.4","6","7.8","13","2.2","10","76","1.9","7.60","5.85","4.5","76.9","0","0.0","1","3","1","32.2","1.9","1.5","25.1"
"118","Rasheen Ali","BLT","RB","15","2025","7","24","1.6","3.43","0","0","0","0","0","71.4","57.1","42.9","","","","","0","0.0","0","0.0","2","2.4","11","3.0","9","68","2.3","7.56","6.18","4.5","81.8","1","4.5","0","1","0","22.2","1.5","1.6","24.2"
"119","Tyler Goodson","IND","RB","11","2025","9","24","2.2","2.67","0","0","0","0","0","77.8","55.6","11.1","","","","","0","0.0","0","0.0","0","0.0","3","0.8","2","8","0.3","4.00","2.67","0.7","66.7","0","0.0","1","1","0","9.7","0.9","0.5","5.2"
"120","Tyler Badie","DEN","RB","16","2025","8","23","1.4","2.88","0","0","0","0","0","75.0","62.5","37.5","","","","","1","5.0","1","2.9","2","2.7","30","5.1","19","141","3.8","7.42","4.70","8.8","63.3","0","0.0","0","3","0","52.5","3.3","2.2","35.4"
"121","DeeJay Dallas","CAR, JAX","RB","5","2025","3","21","4.2","7.00","0","0","0","0","0","66.7","66.7","33.3","33.3","33.3","","","0","0.0","0","0.0","1","4.2","1","0.6","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","3.8","0.8","0.4","2.1"
"122","Jacardia Wright","SEA","RB","1","2025","5","20","20.0","4.00","0","0","0","0","0","80.0","60.0","40.0","20.0","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","2.5","2.5","2.0","2.0"
"123","Cam Akers","MIN, SEA","RB","4","2025","5","19","4.8","3.80","0","0","0","0","0","60.0","40.0","40.0","20.0","","","","0","0.0","0","0.0","0","0.0","1","0.9","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","3.9","1.0","1.8","7.2"
"124","Phil Mafah","DAL","RB","1","2025","5","18","18.0","3.60","1","0","0","0","0","100.0","60.0","40.0","","","","","1","33.3","1","25.0","1","12.5","2","8.3","2","11","7.7","5.50","5.50","11.0","100.0","0","0.0","0","0","0","6.3","6.3","10.9","10.9"
"125","Roschon Johnson","CHI","RB","6","2025","2","17","2.8","8.50","0","0","0","0","0","100.0","100.0","100.0","50.0","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.0","0.2","0.3","1.7"
"126","Clyde Edwards-Helaire","KC","RB","2","2025","7","13","6.5","1.86","0","0","0","0","0","57.1","42.9","14.3","","","","","0","0.0","0","0.0","0","0.0","2","2.5","2","9","1.5","4.50","4.50","4.5","100.0","0","0.0","0","0","0","6.4","3.2","2.1","4.2"
"127","Jacob Saylors","DET","RB","11","2025","2","11","1.0","5.50","0","0","0","0","0","100.0","50.0","50.0","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.0","0.1","0.1","1.1"
"128","Josh Williams","TB","RB","2","2025","4","11","5.5","2.75","0","0","0","0","0","100.0","50.0","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","2.0","1.0","0.6","1.1"
"129","Dylan Laube","LV","RB","17","2025","7","9","0.5","1.29","0","0","0","0","0","71.4","14.3","","","","","","0","0.0","0","0.0","0","0.0","4","0.8","3","18","0.5","6.00","4.50","1.1","75.0","0","0.0","0","0","0","9.4","0.6","0.3","5.7"
"130","Alec Ingold","MIA","FB","17","2025","2","9","0.5","4.50","0","0","0","0","0","100.0","100.0","50.0","","","","","0","0.0","1","3.1","1","1.4","11","2.3","8","52","1.6","6.50","4.73","3.1","72.7","0","0.0","0","0","0","18.1","1.1","0.8","14.1"
"131","Amar Johnson","LAC","RB","1","2025","2","8","8.0","4.00","0","0","0","0","0","100.0","50.0","50.0","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.0","1.0","0.8","0.8"
"132","Kalel Mullings","TEN","RB","5","2025","3","7","1.4","2.33","0","0","0","0","0","66.7","66.7","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.5","0.3","0.1","0.7"
"133","Myles Gaskin","SEA","RB","1","2025","3","6","6.0","2.00","0","0","0","0","0","66.7","66.7","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.5","1.5","0.6","0.6"
"134","Owen Wright","TB","RB","3","2025","3","6","2.0","2.00","0","0","0","0","0","66.7","66.7","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.5","0.5","0.2","0.6"
"135","C.J. Ham","MIN","FB","11","2025","3","5","0.5","1.67","2","0","0","0","0","100.0","33.3","","","","","","2","18.2","2","11.8","2","4.9","2","0.6","2","11","0.5","5.50","5.50","1.0","100.0","0","0.0","0","0","0","6.2","0.6","1.4","15.6"
"136","Andrew Beck","NYJ","FB","17","2025","1","5","0.3","5.00","0","0","0","0","0","100.0","100.0","100.0","","","","","0","0.0","1","4.0","1","1.7","9","1.8","6","45","1.6","7.50","5.00","2.6","66.7","2","13.3","2","2","0","16.3","1.0","1.4","23.0"
"137","Craig Reynolds","DET","RB","6","2025","3","4","0.7","1.33","0","0","0","0","0","66.7","33.3","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.5","0.2","0.1","0.4"
"138","Reggie Gilliam","BUF","FB","17","2025","2","4","0.2","2.00","0","0","0","0","0","50.0","50.0","50.0","","","","","1","2.3","1","1.6","1","0.9","2","0.4","2","24","0.6","12.00","12.00","1.4","100.0","0","0.0","0","0","0","4.8","0.3","0.3","4.8"
"139","Sione Vaki","DET","RB","8","2025","1","4","0.5","4.00","0","0","0","0","0","100.0","100.0","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","0.5","0.1","0.1","0.4"
"140","Patrick Ricard","BLT","FB","11","2025","1","3","0.3","3.00","0","0","0","0","0","100.0","100.0","","","","","","0","0.0","0","0.0","0","0.0","2","0.8","1","8","0.4","8.00","4.00","0.7","50.0","0","0.0","0","0","0","3.5","0.3","0.2","2.1"
"141","Kendall Milton","CIN","RB","1","2025","2","2","2.0","1.00","0","0","0","0","0","50.0","","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.0","1.0","0.2","0.2"
"142","Nyheim Hines","NO, LAC","RB","4","2025","2","-2","-0.5","-1.00","0","0","0","0","0","50.0","","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","1.0","0.2","-0.1","-0.2"
"143","Travis Homer","CHI","RB","8","2025","1","-2","-0.3","-2.00","0","0","0","0","0","","","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","0.5","0.1","0.0","-0.2"
"144","Kyle Juszczyk","SF","FB","17","2025","2","-3","-0.2","-1.50","0","0","0","0","0","","","","","","","","1","3.8","1","2.2","1","1.0","28","4.9","24","213","4.9","8.88","7.61","12.5","85.7","2","6.1","3","5","0","47.3","2.8","3.4","57.0"
"145","Ulysses Bentley","IND","RB","1","2025","1","0","0.0","","0","0","0","0","0","","","","","","","","0","0.0","0","0.0","0","0.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","0.5","0.5","","0.0"

"Rank","Rank, Most to Least"
"Name","Full name of the player or team"
"Team","Team(s) played for"
"POS","Player Position"
"G","Games Played"
"ATT","Rushing Attempts"
"YDS","Rushing Yards"
"RuYDS/G","Rushing Yards per Game"
"YPC","Rushing Yards per Carry"
"TD","Rushing Touchdowns"
"FUM","Rushing Fumbles"
"SCRM","Scrambles"
"YDS","Scramble Yards"
"TD","Scramble Touchdowns"
"1+ %","Percentage of carries that go for 1+ yards"
"3+ %","Percentage of carries that go for 3+ yards"
"5+ %","Percentage of carries that go for 5+ yards"
"10+ %","Percentage of carries that result in 10 or more yards"
"15+ %","Percentage of rushing attempts that result in 15 or more yards"
"20+ %","Percentage of carries that result in 20 or more yards"
"30+ %","Percentage of carries that result in 30 ore more yards"
"i5","Inside the 5 Rushing Attempts"
"i5 %","Percentage of Team's Inside the 5 Carries"
"i10","Inside the 10 Rushing Attempts"
"i10 %","Percentage of Team's Inside the 10 Carries"
"i20 %","Percentage of Team's Inside the 20 Carries"
"TGT","Targets"
"TGT %","Team Target Share"
"REC","Receptions"
"YDS","Receiving Yards"
"TM YDS %","Receiving Yards Market Share"
"YPR","Yards per Reception"
"YPT","Yards per Target"
"RecYDS/G","Receiving Yards per Game"
"CR %","Catch Rate"
"TD","Receiving Touchdowns"
"TM TD %","Receiving Touchdown Market Share"
"i10","Inside the 10 targets"
"FUM","Receiving Fumbles"
"WO","Weighted Opportunity, a somewhat watered down version of XFP"
"WO/G","Weighted Opportunity Per Game"
"FP/G","Fantasy Points per Game"
"FP","Fantasy Points"
