"Player Details","","","","","","Passing","","","","","","","","","","","","","","","Total Rushing","","","Scrambles","","","FPTS","","","",""
"Rank","Name","Team","POS","G","Season","DB","ATT","CMP","CMP %","YDS","YDS/G","YPA","TD","INT","1D","RATE","SACK","SACK %","SK YDS","ANY/A","ATT","YDS","TD","SCRM","YDS","TD","FP/DB","FP/OPP","FP/G","FP","OPP"
"32","Marcus Mariota","WAS","QB","11","2025","261","227","139","61.2","1695","154.1","7.47","10","7","79","86.1","16","6.1","107","6.06","50","297","1","18","163","1","0.52","0.46","12.3","135.5","293"
"33","J.J. McCarthy","MIN","QB","10","2025","287","243","140","57.6","1632","163.2","6.72","11","12","80","72.6","27","9.4","149","4.31","37","181","4","17","156","2","0.49","0.45","13.9","139.4","307"
"34","Spencer Rattler","NO","QB","9","2025","291","257","174","67.7","1586","176.2","6.17","8","5","74","86.5","18","6.2","104","5.15","31","167","0","16","114","0","0.36","0.35","11.8","106.1","306"
"35","Shedeur Sanders","CLV","QB","8","2025","253","212","120","56.6","1400","175.0","6.60","7","10","54","68.1","23","9.1","164","3.94","21","169","1","18","167","1","0.38","0.37","12.0","95.9","256"
"36","Jayden Daniels","WAS","QB","7","2025","244","188","114","60.6","1262","180.3","6.71","8","3","59","88.1","18","7.4","79","5.86","58","278","2","38","246","0","0.49","0.45","17.0","119.3","264"
"37","Justin Fields","NYJ","QB","9","2025","259","204","128","62.7","1259","139.9","6.17","7","1","58","89.5","27","10.4","192","5.03","71","383","4","28","242","1","0.57","0.49","16.3","146.7","302"
"38","Carson Wentz","MIN","QB","5","2025","197","169","110","65.1","1216","243.2","7.20","6","5","58","85.8","19","9.6","125","5.24","11","57","0","9","57","0","0.38","0.38","15.1","75.3","199"
"39","Kyler Murray","ARZ","QB","5","2025","193","161","110","68.3","962","192.4","5.98","6","3","50","88.6","16","8.3","111","4.72","29","173","1","16","142","1","0.42","0.40","16.4","81.8","206"
"40","Dillon Gabriel","CLV","QB","10","2025","215","185","110","59.5","937","93.7","5.06","7","2","45","80.8","19","8.8","127","4.22","14","86","0","11","89","0","0.34","0.33","7.2","72.1","218"
"41","Davis Mills","HST","QB","6","2025","174","159","91","57.2","915","152.5","5.75","5","1","48","81.6","8","4.6","60","5.45","13","60","1","7","58","1","0.40","0.39","11.6","69.6","180"
"42","Russell Wilson","NYG","QB","6","2025","141","119","69","58.0","831","138.5","6.98","3","3","32","77.4","10","7.1","66","5.35","18","106","0","12","91","0","0.37","0.36","8.8","52.8","147"
"43","Tyrod Taylor","NYJ","QB","6","2025","170","134","80","59.7","779","129.8","5.81","5","5","41","72.9","14","8.2","82","3.86","27","143","1","22","141","1","0.39","0.37","10.9","65.5","175"
"44","Jake Browning","CIN","QB","5","2025","138","125","81","64.8","771","154.2","6.17","6","8","33","71.1","9","6.5","60","3.51","9","39","1","4","31","0","0.41","0.40","11.3","56.7","143"
"45","Brady Cook","NYJ","QB","5","2025","179","153","88","57.5","739","147.8","4.83","2","7","35","55.4","19","10.6","125","1.97","13","49","0","7","44","0","0.20","0.20","7.3","36.5","185"
"46","Quinn Ewers","MIA","QB","4","2025","94","83","55","66.3","622","155.5","7.49","3","3","29","85.5","8","8.5","59","5.36","8","19","0","3","21","0","0.38","0.37","9.0","36.2","99"
"47","Jameis Winston","NYG","QB","3","2025","70","66","37","56.1","567","189.0","8.59","2","2","25","82.1","3","4.3","11","7.33","7","23","1","1","11","0","0.66","0.61","15.4","46.3","76"
"48","Philip Rivers","IND","QB","3","2025","97","92","58","63.0","544","181.3","5.91","4","3","30","80.2","5","5.2","37","4.66","2","-1","0","0","0","0","0.36","0.35","11.6","34.7","99"
"49","Tyler Huntley","BLT","QB","5","2025","82","67","52","77.6","426","85.2","6.36","2","0","19","103.1","8","9.8","38","5.71","24","151","0","7","84","0","0.49","0.41","8.0","40.1","99"
"50","Malik Willis","GB","QB","4","2025","47","35","30","85.7","422","105.5","12.06","3","0","19","145.5","3","6.4","15","12.29","22","123","2","9","67","1","1.11","0.87","13.0","52.2","60"
"51","Riley Leonard","IND","QB","5","2025","72","67","39","58.2","415","83.0","6.19","2","3","18","67.7","2","2.8","17","4.39","6","27","2","3","26","1","0.47","0.45","6.8","34.0","75"
"52","Josh Johnson","WAS","QB","5","2025","64","54","34","63.0","372","74.4","6.89","1","2","21","74.0","2","3.1","14","5.14","12","55","1","8","54","1","0.43","0.40","5.5","27.4","68"
"53","Max Brosmer","MIN","QB","7","2025","87","71","47","66.2","328","46.9","4.62","0","4","18","53.0","14","16.1","100","0.56","7","11","0","2","16","0","0.11","0.10","1.3","9.2","92"
"54","Mitchell Trubisky","BUF","QB","4","2025","37","35","25","71.4","313","78.3","8.94","4","0","19","137.0","0","","0","11.23","9","6","0","2","13","0","0.84","0.71","7.8","31.1","44"
"55","Mason Rudolph","PIT","QB","5","2025","55","52","38","73.1","310","62.0","5.96","2","2","17","84.6","2","3.6","12","4.59","7","6","0","1","3","0","0.33","0.30","3.6","18.0","61"
"56","Cooper Rush","BLT","QB","4","2025","53","52","34","65.4","303","75.8","5.83","0","4","13","48.8","1","1.9","16","2.02","4","-4","0","0","0","0","0.13","0.12","1.7","6.7","57"
"57","Andy Dalton","CAR","QB","4","2025","46","37","25","67.6","293","73.3","7.92","1","1","17","89.1","8","17.4","54","4.76","5","-2","0","1","1","0","0.27","0.25","3.1","12.5","50"
