"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","Devon Achane","MIA","RB","1","2023","1","3","DEN","18","203","203.0","11.28","2","0","0","0","0","94.4","83.3","55.6","22.2","16.7","16.7","11.1","1","33.3","4","66.7","6","66.7","4","14.3","4","30","8.0","7.50","7.50","30.0","100.0","2","40.0","2","2","0","21.5","21.5","51.3","51.3"
"2","Jonathan Taylor","IND","RB","1","2023","1","18","HST","30","188","188.0","6.27","1","0","0","0","0","80.0","60.0","43.3","26.7","6.7","6.7","3.3","0","0.0","0","0.0","3","100.0","2","8.3","2","8","5.7","4.00","4.00","8.0","100.0","0","0.0","0","0","0","20.2","20.2","27.6","27.6"
"3","James Cook","BUF","RB","1","2023","1","15","DAL","25","179","179.0","7.16","1","0","0","0","0","100.0","68.0","52.0","28.0","12.0","8.0","","0","0.0","1","16.7","2","25.0","3","20.0","2","42","44.7","21.00","14.00","42.0","66.7","1","100.0","1","2","0","20.0","20.0","36.1","36.1"
"4","Breece Hall","NYJ","RB","1","2023","1","18","NE","37","178","178.0","4.81","1","0","0","0","0","81.1","56.8","35.1","10.8","2.7","2.7","2.7","0","0.0","1","100.0","2","100.0","2","10.0","2","12","17.1","6.00","6.00","12.0","100.0","0","0.0","0","0","0","22.8","22.8","29.0","29.0"
"5","Breece Hall","NYJ","RB","1","2023","1","5","DEN","22","177","177.0","8.05","1","0","0","0","0","86.4","63.6","40.9","13.6","13.6","4.5","4.5","0","0.0","4","80.0","7","77.8","3","11.5","3","17","8.5","5.67","5.67","17.0","100.0","0","0.0","0","0","0","21.2","21.2","28.4","28.4"
"6","D'Andre Swift","PHI","RB","1","2023","1","2","MIN","28","175","175.0","6.25","1","0","0","0","0","100.0","75.0","46.4","10.7","3.6","3.6","3.6","3","60.0","6","66.7","7","70.0","3","13.0","3","6","3.1","2.00","2.00","6.0","100.0","0","0.0","0","0","0","24.2","24.2","27.1","27.1"
"7","Zack Moss","IND","RB","1","2023","1","5","TEN","23","165","165.0","7.17","2","0","0","0","0","82.6","78.3","47.8","21.7","4.3","4.3","4.3","1","100.0","3","75.0","8","72.7","2","7.7","2","30","11.9","15.00","15.00","30.0","100.0","0","0.0","0","0","0","21.1","21.1","33.5","33.5"
"8","Kyren Williams","LA","RB","1","2023","1","6","ARZ","20","158","158.0","7.90","1","0","0","0","0","85.0","75.0","65.0","25.0","15.0","10.0","5.0","2","100.0","3","100.0","6","85.7","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","15.0","15.0","21.8","21.8"
"9","Derrick Henry","TEN","RB","1","2023","1","18","JAX","19","153","153.0","8.05","1","0","0","0","0","89.5","57.9","36.8","21.1","15.8","5.3","5.3","1","50.0","2","66.7","3","75.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.9","11.9","21.3","21.3"
