"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"10","Christian McCaffrey","SF","RB","1","2023","1","1","PIT","22","152","152.0","6.91","1","0","0","0","0","77.3","63.6","45.5","18.2","9.1","4.5","4.5","0","0.0","0","0.0","2","100.0","4","13.8","3","17","7.7","5.67","4.25","17.0","75.0","0","0.0","0","0","1","18.4","18.4","25.9","25.9"
"11","Kyren Williams","LA","RB","1","2023","1","15","WAS","27","152","152.0","5.63","1","1","0","0","0","88.9","70.4","44.4","18.5","3.7","3.7","","1","50.0","2","50.0","3","42.9","7","21.2","5","3","1.2","0.60","0.43","3.0","71.4","0","0.0","1","2","1","27.8","27.8","26.5","26.5"
"12","Jahmyr Gibbs","DET","RB","1","2023","1","8","LV","26","152","152.0","5.85","1","0","0","0","0","88.5","61.5","38.5","15.4","11.5","7.7","","0","0.0","1","33.3","3","42.9","5","13.5","5","37","13.6","7.40","7.40","37.0","100.0","0","0.0","0","0","0","22.7","22.7","29.9","29.9"
"13","Devon Achane","MIA","RB","1","2023","1","5","NYG","11","151","151.0","13.73","1","1","0","0","0","90.9","72.7","72.7","36.4","18.2","18.2","9.1","1","50.0","1","33.3","4","66.7","1","3.3","1","14","4.5","14.00","14.00","14.0","100.0","0","0.0","0","0","0","10.3","10.3","22.5","22.5"
"14","James Conner","ARZ","RB","1","2023","1","18","SEA","27","150","150.0","5.56","1","0","0","0","0","70.4","44.4","33.3","18.5","11.1","11.1","","1","50.0","1","50.0","3","60.0","4","13.3","4","54","20.6","13.50","13.50","54.0","100.0","0","0.0","0","0","0","21.7","21.7","30.4","30.4"
"15","Devin Singletary","HST","RB","1","2023","1","10","CIN","30","150","150.0","5.00","1","0","0","0","0","93.3","66.7","40.0","16.7","3.3","3.3","","1","100.0","2","50.0","3","60.0","2","5.1","1","11","3.1","11.00","5.50","11.0","50.0","0","0.0","0","1","0","21.1","21.1","23.1","23.1"
"16","Zamir White","LV","RB","1","2023","1","16","KC","22","145","145.0","6.59","0","0","0","0","0","90.9","86.4","40.9","13.6","13.6","4.5","4.5","0","0.0","0","0.0","1","25.0","1","4.8","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.1","13.1","14.5","14.5"
"17","Christian McCaffrey","SF","RB","1","2023","1","14","SEA","16","145","145.0","9.06","0","0","0","0","0","81.3","43.8","37.5","25.0","18.8","18.8","6.3","0","0.0","0","0.0","1","33.3","1","3.7","1","8","2.2","8.00","8.00","8.0","100.0","0","0.0","0","0","0","10.2","10.2","16.3","16.3"
"18","Kyren Williams","LA","RB","1","2023","1","12","ARZ","16","143","143.0","8.94","0","0","0","0","0","93.8","68.8","56.3","12.5","12.5","12.5","6.3","0","0.0","2","66.7","4","57.1","6","18.2","6","61","26.6","10.17","10.17","61.0","100.0","2","50.0","2","3","0","22.6","22.6","38.4","38.4"
"19","Keaton Mitchell","BLT","RB","1","2023","1","9","SEA","9","138","138.0","15.33","1","0","0","0","0","77.8","77.8","77.8","33.3","22.2","22.2","22.2","0","0.0","0","0.0","0","0.0","1","3.0","1","-4","-1.8","-4.00","-4.00","-4.0","100.0","0","0.0","0","0","0","5.9","5.9","20.4","20.4"
"20","Travis Etienne","JAX","RB","1","2023","1","5","BUF","26","136","136.0","5.23","2","0","0","0","0","73.1","42.3","34.6","15.4","7.7","7.7","7.7","1","100.0","2","100.0","3","50.0","5","13.5","4","48","15.2","12.00","9.60","48.0","80.0","0","0.0","0","0","0","22.7","22.7","36.4","36.4"
"21","Ty Chandler","MIN","RB","1","2023","1","15","CIN","23","132","132.0","5.74","1","0","0","0","0","87.0","60.9","34.8","8.7","8.7","8.7","4.3","1","100.0","1","100.0","3","75.0","4","11.8","3","25","8.3","8.33","6.25","25.0","75.0","0","0.0","0","1","0","20.6","20.6","24.7","24.7"
"22","Isiah Pacheco","KC","RB","1","2023","1","17","CIN","18","130","130.0","7.22","0","0","0","0","0","100.0","61.1","50.0","11.1","11.1","11.1","11.1","0","0.0","2","100.0","4","100.0","7","24.1","7","35","14.3","5.00","5.00","35.0","100.0","1","100.0","2","3","0","25.1","25.1","29.5","29.5"
"23","D'Andre Swift","PHI","RB","1","2023","1","3","TB","16","130","130.0","8.13","0","0","0","0","0","93.8","62.5","62.5","25.0","12.5","12.5","","0","0.0","2","40.0","3","30.0","2","5.4","1","8","2.9","8.00","4.00","8.0","50.0","0","0.0","0","0","0","13.4","13.4","14.8","14.8"
"24","Jaylen Warren","PIT","RB","1","2023","1","11","CLV","9","129","129.0","14.33","1","0","0","0","0","77.8","77.8","66.7","44.4","22.2","22.2","11.1","0","0.0","0","0.0","1","100.0","3","10.7","3","16","15.1","5.33","5.33","16.0","100.0","0","0.0","0","0","0","9.7","9.7","23.5","23.5"
"25","Saquon Barkley","NYG","RB","1","2023","1","8","NYJ","36","128","128.0","3.56","0","0","0","0","0","75.0","52.8","33.3","2.8","2.8","2.8","2.8","1","100.0","2","66.7","7","70.0","4","28.6","3","0","0.0","","0.00","0.0","75.0","0","0.0","0","0","0","29.6","29.6","15.8","15.8"
"26","James Conner","ARZ","RB","1","2023","1","17","PHI","26","128","128.0","4.92","1","0","0","0","0","92.3","61.5","42.3","19.2","3.8","3.8","","2","50.0","3","50.0","8","66.7","1","3.2","1","5","2.2","5.00","5.00","5.0","100.0","1","33.3","1","1","0","21.9","21.9","26.3","26.3"
"27","Aaron Jones","GB","RB","1","2023","1","16","CAR","21","127","127.0","6.05","0","0","0","0","0","85.7","71.4","38.1","23.8","4.8","4.8","4.8","2","50.0","2","33.3","8","53.3","3","10.7","1","8","3.7","8.00","2.67","8.0","33.3","0","0.0","0","0","0","21.6","21.6","14.5","14.5"
"28","Breece Hall","NYJ","RB","1","2023","1","1","BUF","10","127","127.0","12.70","0","1","0","0","0","80.0","60.0","40.0","20.0","20.0","20.0","10.0","0","0.0","0","0.0","0","0.0","1","4.5","1","20","14.3","20.00","20.00","20.0","100.0","0","0.0","0","0","0","6.4","6.4","15.7","15.7"
"29","Bijan Robinson","ATL","RB","1","2023","1","2","GB","19","124","124.0","6.53","0","0","0","0","0","89.5","78.9","68.4","26.3","5.3","","","1","100.0","1","50.0","3","33.3","5","15.6","4","48","20.3","12.00","9.60","48.0","80.0","0","0.0","0","1","0","20.1","20.1","21.2","21.2"
"30","Khalil Herbert","CHI","RB","1","2023","1","17","ATL","18","124","124.0","6.89","1","0","0","0","0","72.2","55.6","33.3","16.7","11.1","11.1","11.1","1","16.7","1","14.3","2","25.0","3","9.4","2","5","1.9","2.50","1.67","5.0","66.7","0","0.0","1","1","0","15.8","15.8","20.9","20.9"
"31","James Cook","BUF","RB","1","2023","1","2","LV","17","123","123.0","7.24","0","0","0","0","0","94.1","82.4","47.1","17.6","11.8","5.9","5.9","0","0.0","2","18.2","2","16.7","4","10.8","4","36","13.1","9.00","9.00","36.0","100.0","0","0.0","0","0","0","16.0","16.0","19.9","19.9"
"32","Najee Harris","PIT","RB","1","2023","1","17","SEA","27","122","122.0","4.52","2","0","0","0","0","85.2","66.7","44.4","7.4","3.7","3.7","","2","50.0","3","50.0","12","63.2","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","23.6","23.6","24.2","24.2"
"33","Derrick Henry","TEN","RB","1","2023","1","4","CIN","22","122","122.0","5.55","1","0","0","0","0","90.9","63.6","31.8","18.2","13.6","4.5","","0","0.0","0","0.0","0","0.0","1","3.8","1","11","4.5","11.00","11.00","11.0","100.0","0","0.0","0","0","0","12.3","12.3","24.4","24.4"
"34","Zack Moss","IND","RB","1","2023","1","3","BLT","30","122","122.0","4.07","0","0","0","0","0","80.0","36.7","23.3","13.3","6.7","6.7","","0","0.0","2","100.0","3","100.0","3","6.8","2","23","10.1","11.50","7.67","23.0","66.7","1","100.0","1","2","0","23.3","23.3","22.5","22.5"
"35","Tony Pollard","DAL","RB","1","2023","1","3","ARZ","23","122","122.0","5.30","0","0","0","0","0","95.7","65.2","52.2","4.3","4.3","4.3","4.3","1","100.0","3","60.0","8","72.7","3","7.5","3","-1","-0.4","-0.33","-0.33","-1.0","100.0","0","0.0","0","0","0","22.6","22.6","15.1","15.1"
"36","David Montgomery","DET","RB","1","2023","1","4","GB","32","121","121.0","3.78","3","0","0","0","0","90.6","53.1","31.3","9.4","3.1","","","5","100.0","8","100.0","12","80.0","2","7.1","2","20","9.5","10.00","10.00","20.0","100.0","0","0.0","0","0","0","29.0","29.0","34.1","34.1"
"37","Raheem Mostert","MIA","RB","1","2023","1","2","NE","18","121","121.0","6.72","2","0","0","0","0","94.4","83.3","44.4","16.7","5.6","5.6","5.6","1","50.0","2","50.0","2","50.0","1","3.3","1","6","2.4","6.00","6.00","6.0","100.0","0","0.0","0","0","0","12.0","12.0","25.7","25.7"
"38","Devin Singletary","HST","RB","1","2023","1","15","TEN","26","121","121.0","4.65","0","0","0","0","0","73.1","61.5","46.2","11.5","3.8","","","2","66.7","3","75.0","5","71.4","5","13.9","4","49","21.4","12.25","9.80","49.0","80.0","0","0.0","0","0","0","24.4","24.4","21.0","21.0"
"39","Aaron Jones","GB","RB","1","2023","1","17","MIN","20","120","120.0","6.00","0","0","0","0","0","100.0","70.0","40.0","20.0","10.0","5.0","","0","0.0","0","0.0","3","37.5","1","2.9","1","10","3.4","10.00","10.00","10.0","100.0","0","0.0","0","0","0","13.9","13.9","14.0","14.0"
"40","Aaron Jones","GB","RB","1","2023","2","1","DAL","21","118","118.0","5.62","3","0","0","0","0","81.0","61.9","38.1","19.0","9.5","4.8","","2","66.7","3","75.0","5","50.0","1","4.8","1","13","4.8","13.00","13.00","13.0","100.0","0","0.0","0","1","0","16.9","16.9","32.1","32.1"
"41","Austin Ekeler","LAC","RB","1","2023","1","1","MIA","16","117","117.0","7.31","1","0","0","0","0","87.5","75.0","50.0","12.5","6.3","6.3","6.3","4","66.7","4","50.0","5","41.7","5","15.2","4","47","20.5","11.75","9.40","47.0","80.0","0","0.0","0","1","0","20.4","20.4","26.4","26.4"
"42","Christian McCaffrey","SF","RB","1","2023","1","2","LA","20","116","116.0","5.80","1","0","0","0","0","100.0","55.0","25.0","10.0","5.0","5.0","5.0","0","0.0","1","50.0","5","62.5","3","12.0","3","19","9.2","6.33","6.33","19.0","100.0","0","0.0","0","0","0","18.5","18.5","22.5","22.5"
"43","Josh Jacobs","LV","RB","1","2023","1","10","NYJ","27","116","116.0","4.30","0","2","0","0","0","77.8","51.9","37.0","7.4","3.7","3.7","3.7","0","0.0","1","100.0","2","100.0","2","7.4","2","11","7.2","5.50","5.50","11.0","100.0","0","0.0","0","0","0","17.9","17.9","13.7","13.7"
"44","David Montgomery","DET","RB","1","2023","1","10","LAC","12","116","116.0","9.67","1","0","0","0","0","75.0","58.3","58.3","8.3","8.3","8.3","8.3","2","40.0","2","33.3","4","36.4","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","9.3","9.3","17.6","17.6"
"45","Isiah Pacheco","KC","RB","1","2023","1","4","NYJ","20","115","115.0","5.75","1","0","0","0","0","75.0","50.0","35.0","20.0","10.0","5.0","5.0","0","0.0","0","0.0","4","50.0","3","10.0","3","43","21.2","14.33","14.33","43.0","100.0","0","0.0","0","0","0","17.7","17.7","24.8","24.8"
"46","Christian McCaffrey","SF","RB","1","2023","1","15","ARZ","18","115","115.0","6.39","1","0","0","0","0","83.3","55.6","44.4","33.3","11.1","5.6","","1","100.0","2","100.0","3","75.0","5","17.9","5","72","27.5","14.40","14.40","72.0","100.0","2","50.0","1","1","0","19.6","19.6","41.7","41.7"
"47","Raheem Mostert","MIA","RB","1","2023","1","6","CAR","17","115","115.0","6.76","2","0","0","0","0","76.5","58.8","35.3","17.6","5.9","5.9","5.9","3","75.0","6","60.0","6","54.5","3","9.4","3","17","6.5","5.67","5.67","17.0","100.0","1","33.3","1","1","0","18.7","18.7","34.2","34.2"
"48","Kyren Williams","LA","RB","1","2023","1","14","BLT","25","114","114.0","4.56","0","0","0","0","0","88.0","64.0","44.0","16.0","","","","1","100.0","2","100.0","4","100.0","4","9.8","3","-1","-0.3","-0.33","-0.25","-1.0","75.0","0","0.0","0","0","0","21.6","21.6","14.3","14.3"
"49","Christian McCaffrey","SF","RB","1","2023","1","12","SEA","19","114","114.0","6.00","2","0","0","0","0","94.7","57.9","52.6","15.8","10.5","5.3","","2","66.7","4","80.0","6","75.0","6","19.4","5","25","12.0","5.00","4.17","25.0","83.3","0","0.0","0","1","0","24.2","24.2","30.9","30.9"
"50","Zamir White","LV","RB","1","2023","1","18","DEN","25","112","112.0","4.48","0","0","0","0","0","80.0","60.0","32.0","12.0","4.0","4.0","","0","0.0","2","66.7","6","85.7","1","3.1","1","9","3.7","9.00","9.00","9.0","100.0","0","0.0","0","0","0","18.9","18.9","13.1","13.1"
"51","Najee Harris","PIT","RB","1","2023","1","18","BLT","26","112","112.0","4.31","1","0","0","0","0","88.5","61.5","42.3","11.5","3.8","","","1","50.0","5","83.3","6","85.7","5","25.0","5","21","13.8","4.20","4.20","21.0","100.0","0","0.0","1","2","0","26.9","26.9","24.3","24.3"
"52","Devin Singletary","HST","RB","1","2023","1","11","ARZ","22","112","112.0","5.09","1","0","0","0","0","86.4","54.5","36.4","18.2","9.1","4.5","","0","0.0","0","0.0","3","75.0","2","5.3","2","6","1.8","3.00","3.00","6.0","100.0","0","0.0","0","0","0","16.3","16.3","19.8","19.8"
"53","Khalil Herbert","CHI","RB","1","2023","1","16","ARZ","20","112","112.0","5.60","1","0","0","0","0","100.0","80.0","45.0","20.0","5.0","","","0","0.0","1","25.0","5","55.6","2","7.4","1","9","5.3","9.00","4.50","9.0","50.0","0","0.0","0","1","0","17.9","17.9","19.1","19.1"
"54","Joe Mixon","CIN","RB","1","2023","1","18","CLV","14","111","111.0","7.93","1","0","0","0","0","71.4","57.1","50.0","35.7","21.4","7.1","7.1","1","100.0","3","75.0","4","80.0","2","7.1","1","6","3.4","6.00","3.00","6.0","50.0","1","33.3","1","1","0","14.1","14.1","24.7","24.7"
"55","Aaron Jones","GB","RB","1","2023","1","18","CHI","22","111","111.0","5.05","0","0","0","0","0","90.9","77.3","36.4","18.2","4.5","","","0","0.0","0","0.0","5","100.0","5","15.6","5","30","9.5","6.00","6.00","30.0","100.0","0","0.0","0","1","0","23.3","23.3","19.1","19.1"
"56","Josh Jacobs","LV","RB","1","2023","1","12","KC","20","110","110.0","5.50","1","0","0","0","0","85.0","60.0","20.0","5.0","5.0","5.0","5.0","0","0.0","0","0.0","2","100.0","6","17.6","4","15","6.0","3.75","2.50","15.0","66.7","0","0.0","0","1","0","21.2","21.2","22.5","22.5"
"57","Isiah Pacheco","KC","RB","1","2023","1","13","GB","18","110","110.0","6.11","1","0","0","0","0","94.4","66.7","55.6","16.7","5.6","5.6","","2","100.0","2","100.0","6","100.0","4","12.1","3","13","6.2","4.33","3.25","13.0","75.0","0","0.0","0","0","0","19.9","19.9","21.3","21.3"
"58","David Montgomery","DET","RB","1","2023","1","5","CAR","19","109","109.0","5.74","1","0","0","0","0","89.5","63.2","36.8","10.5","5.3","5.3","5.3","2","40.0","3","50.0","6","66.7","5","17.9","2","20","8.5","10.00","4.00","20.0","40.0","0","0.0","0","0","0","21.9","21.9","20.9","20.9"
"59","James Cook","BUF","RB","1","2023","1","10","DEN","12","109","109.0","9.08","0","1","0","0","0","100.0","83.3","58.3","33.3","8.3","8.3","8.3","0","0.0","1","25.0","3","42.9","2","7.7","2","11","6.2","5.50","5.50","11.0","100.0","0","0.0","0","0","1","11.4","11.4","13.0","13.0"
"60","Aaron Jones","GB","RB","1","2023","2","2","SF","18","108","108.0","6.00","0","0","0","0","0","72.2","50.0","38.9","11.1","5.6","5.6","5.6","1","100.0","2","100.0","5","83.3","6","17.6","3","8","4.1","2.67","1.33","8.0","50.0","0","0.0","1","1","0","22.8","22.8","16.6","16.6"
"61","Devon Achane","MIA","RB","1","2023","1","17","BLT","14","107","107.0","7.64","0","0","0","0","0","71.4","64.3","57.1","28.6","14.3","7.1","7.1","0","0.0","1","50.0","4","66.7","5","13.2","4","30","12.7","7.50","6.00","30.0","80.0","1","50.0","1","1","0","18.5","18.5","23.7","23.7"
"62","Jerome Ford","CLV","RB","1","2023","1","10","BLT","17","107","107.0","6.29","0","0","0","0","0","94.1","76.5","52.9","17.6","5.9","5.9","","0","0.0","1","50.0","1","33.3","1","2.9","1","2","0.9","2.00","2.00","2.0","100.0","0","0.0","0","0","0","10.7","10.7","11.9","11.9"
"63","Christian McCaffrey","SF","RB","1","2023","1","4","ARZ","20","106","106.0","5.30","3","0","0","0","0","85.0","55.0","50.0","25.0","10.0","","","4","66.7","5","62.5","8","72.7","8","38.1","7","71","25.1","10.14","8.88","71.0","87.5","1","100.0","2","3","0","31.0","31.0","48.7","48.7"
"64","Jerome Ford","CLV","RB","1","2023","1","2","PIT","16","106","106.0","6.63","0","0","0","0","0","75.0","43.8","25.0","6.3","6.3","6.3","6.3","0","0.0","0","0.0","0","0.0","4","10.0","3","25","10.6","8.33","6.25","25.0","75.0","1","100.0","1","1","0","14.6","14.6","24.1","24.1"
"65","James Conner","ARZ","RB","1","2023","1","2","NYG","23","106","106.0","4.61","1","0","0","0","0","73.9","56.5","30.4","17.4","13.0","8.7","","2","100.0","2","100.0","3","100.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.9","13.9","16.6","16.6"
"66","Nick Chubb","CLV","RB","1","2023","1","1","CIN","18","106","106.0","5.89","0","0","0","0","0","94.4","61.1","50.0","27.8","5.6","","","0","0.0","1","100.0","2","66.7","4","13.8","4","21","13.6","5.25","5.25","21.0","100.0","0","0.0","0","0","0","16.5","16.5","16.7","16.7"
"67","Bijan Robinson","ATL","RB","1","2023","1","4","JAX","14","105","105.0","7.50","0","0","0","0","0","85.7","57.1","35.7","21.4","14.3","14.3","7.1","0","0.0","0","0.0","1","50.0","5","16.1","5","32","16.8","6.40","6.40","32.0","100.0","0","0.0","0","0","0","15.1","15.1","18.7","18.7"
"68","Kenneth Walker","SEA","RB","1","2023","1","7","ARZ","26","105","105.0","4.04","0","0","0","0","0","80.8","65.4","30.8","3.8","3.8","3.8","","2","100.0","2","50.0","4","66.7","3","12.5","2","6","2.7","3.00","2.00","6.0","66.7","0","0.0","0","0","0","20.6","20.6","13.1","13.1"
"69","James Conner","ARZ","RB","1","2023","1","13","PIT","25","105","105.0","4.20","2","0","0","0","0","72.0","56.0","32.0","12.0","4.0","4.0","","2","100.0","4","100.0","8","88.9","1","4.3","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","20.6","20.6","22.5","22.5"
"70","Kyren Williams","LA","RB","1","2023","1","16","NO","22","104","104.0","4.73","1","0","0","0","0","100.0","68.2","45.5","13.6","","","","3","100.0","6","100.0","9","90.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","18.5","18.5","16.4","16.4"
"71","Chuba Hubbard","CAR","RB","1","2023","1","13","TB","25","104","104.0","4.16","2","0","0","0","0","84.0","64.0","48.0","4.0","4.0","","","3","100.0","4","100.0","5","100.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","16.6","16.6","22.4","22.4"
"72","Justin Fields","CHI","QB","1","2023","1","11","DET","18","104","104.0","5.78","0","0","4","50","0","77.8","61.1","55.6","22.2","5.6","5.6","","0","0.0","0","0.0","3","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","11.4","11.4","21.2","21.2"
"73","Khalil Herbert","CHI","RB","1","2023","1","4","DEN","18","103","103.0","5.72","0","0","0","0","0","94.4","77.8","38.9","11.1","11.1","11.1","","0","0.0","0","0.0","2","50.0","5","14.3","4","19","5.7","4.75","3.80","19.0","80.0","1","25.0","1","1","0","18.8","18.8","22.2","22.2"
"74","Kyren Williams","LA","RB","1","2023","1","4","IND","25","103","103.0","4.12","2","1","0","0","0","80.0","64.0","36.0","8.0","4.0","4.0","","2","100.0","2","100.0","4","100.0","3","7.5","3","24","7.5","8.00","8.00","24.0","100.0","0","0.0","0","0","0","20.1","20.1","27.7","27.7"
"75","Christian McCaffrey","SF","RB","1","2023","1","16","BLT","14","103","103.0","7.36","1","0","0","0","0","92.9","71.4","42.9","21.4","14.3","7.1","7.1","1","100.0","2","100.0","2","100.0","10","21.7","6","28","8.3","4.67","2.80","28.0","60.0","0","0.0","0","1","0","24.2","24.2","25.1","25.1"
"76","Rachaad White","TB","RB","1","2023","1","14","ATL","25","102","102.0","4.08","0","1","0","0","0","92.0","68.0","36.0","8.0","","","","0","0.0","1","50.0","2","66.7","2","6.9","2","33","22.9","16.50","16.50","33.0","100.0","1","50.0","0","0","0","16.9","16.9","21.5","21.5"
"77","Travis Etienne","JAX","RB","1","2023","1","17","CAR","16","102","102.0","6.38","2","0","0","0","0","81.3","50.0","25.0","12.5","6.3","6.3","6.3","1","100.0","1","100.0","3","37.5","2","8.3","2","16","9.0","8.00","8.00","16.0","100.0","0","0.0","0","0","0","13.4","13.4","25.8","25.8"
"78","Derrick Henry","TEN","RB","1","2023","1","13","IND","21","102","102.0","4.86","2","0","0","0","0","90.5","57.1","47.6","4.8","4.8","4.8","","1","50.0","1","25.0","2","33.3","2","6.1","1","18","8.0","18.00","9.00","18.0","50.0","0","0.0","0","0","0","15.0","15.0","25.0","25.0"
"79","Devon Achane","MIA","RB","1","2023","1","4","BUF","8","101","101.0","12.63","2","0","0","0","0","100.0","100.0","50.0","37.5","25.0","12.5","12.5","1","100.0","2","100.0","3","50.0","4","11.4","3","19","6.7","6.33","4.75","19.0","75.0","0","0.0","2","2","0","14.0","14.0","27.0","27.0"
"80","Lamar Jackson","BLT","QB","1","2023","1","3","IND","14","101","101.0","7.21","2","0","5","48","0","85.7","78.6","71.4","42.9","7.1","","","0","0.0","2","100.0","2","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","8.6","8.6","29.2","29.2"
"81","Jaylen Warren","PIT","RB","1","2023","1","10","GB","15","101","101.0","6.73","1","0","0","0","0","80.0","66.7","53.3","33.3","13.3","6.7","","0","0.0","0","0.0","2","50.0","4","17.4","2","9","7.1","4.50","2.25","9.0","50.0","0","0.0","0","1","0","15.8","15.8","19.0","19.0"
"82","Derrick Henry","TEN","RB","1","2023","1","8","ATL","22","101","101.0","4.59","0","0","0","0","0","90.9","68.2","50.0","4.5","","","","0","0.0","0","0.0","0","0.0","4","13.8","4","21","8.8","5.25","5.25","21.0","100.0","0","0.0","0","0","0","16.7","16.7","16.2","16.2"
"83","Rachaad White","TB","RB","1","2023","1","12","IND","15","100","100.0","6.67","0","0","0","0","0","93.3","66.7","40.0","20.0","6.7","6.7","6.7","1","50.0","1","50.0","2","66.7","2","6.5","2","10","5.0","5.00","5.00","10.0","100.0","0","0.0","0","0","0","12.0","12.0","13.0","13.0"
"84","Lamar Jackson","BLT","QB","1","2023","2","2","HST","11","100","100.0","9.09","2","0","5","63","1","90.9","81.8","63.6","45.5","27.3","9.1","","0","0.0","1","50.0","3","37.5","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","8.0","8.0","36.1","36.1"
"85","Jahmyr Gibbs","DET","RB","1","2023","1","15","DEN","11","100","100.0","9.09","1","0","0","0","0","81.8","63.6","54.5","36.4","18.2","18.2","9.1","1","100.0","1","100.0","3","60.0","2","5.9","2","8","2.9","4.00","4.00","8.0","100.0","1","20.0","1","1","0","11.7","11.7","24.8","24.8"
"86","Najee Harris","PIT","RB","1","2023","1","12","CIN","15","99","99.0","6.60","1","0","0","0","0","86.7","73.3","60.0","20.0","13.3","13.3","","1","100.0","1","50.0","3","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","9.9","9.9","15.9","15.9"
"87","James Cook","BUF","RB","1","2023","1","3","WAS","15","98","98.0","6.53","0","0","0","0","0","100.0","66.7","53.3","20.0","6.7","6.7","6.7","1","33.3","1","20.0","3","42.9","3","9.4","2","14","6.4","7.00","4.67","14.0","66.7","0","0.0","0","0","0","14.4","14.4","13.2","13.2"
"88","James Conner","ARZ","RB","1","2023","1","3","DAL","14","98","98.0","7.00","1","0","0","0","0","78.6","57.1","57.1","21.4","14.3","14.3","","1","100.0","2","100.0","3","100.0","2","9.5","2","18","9.5","9.00","9.00","18.0","100.0","0","0.0","0","1","0","13.2","13.2","19.6","19.6"
