"Player Details","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","FP/G","FP","PPR","NON-PPR"
"34","Chris Olave","NO","WR","1","2022","1","3","CAR","11","26.8","9","147","41.6","16.33","13.36","147.0","81.8","0","0.0","0","1","0","23.7","23.7","23.7","14.7"
"35","Tyreek Hill","MIA","WR","1","2022","1","13","SF","13","38.2","9","146","49.5","16.22","11.23","146.0","69.2","1","50.0","0","0","0","29.6","29.6","29.6","20.6"
"36","Davante Adams","LV","WR","1","2022","1","9","JAX","17","47.2","10","146","56.4","14.60","8.59","146.0","58.8","2","100.0","0","0","0","36.6","36.6","36.6","26.6"
"37","Zay Jones","JAX","WR","1","2022","1","12","BLT","14","37.8","11","145","45.2","13.18","10.36","145.0","78.6","0","0.0","0","1","0","27.5","27.5","27.5","16.5"
"38","Jaylen Waddle","MIA","WR","1","2022","1","16","GB","6","24.0","5","143","46.1","28.60","23.83","143.0","83.3","1","100.0","0","0","0","25.3","25.3","25.3","20.3"
"39","Tyreek Hill","MIA","WR","1","2022","1","9","CHI","7","23.3","7","143","47.4","20.43","20.43","143.0","100.0","1","33.3","1","1","0","27.3","27.3","27.3","20.3"
"40","Davante Adams","LV","WR","1","2022","1","11","DEN","11","29.7","7","141","45.9","20.14","12.82","141.0","63.6","2","100.0","0","0","0","33.1","33.1","33.1","26.1"
"41","Davante Adams","LV","WR","1","2022","1","1","LAC","15","40.5","10","141","47.8","14.10","9.40","141.0","66.7","1","50.0","3","3","0","30.1","30.1","30.1","20.1"
"42","Marquise Brown","ARZ","WR","1","2022","1","3","LA","17","29.3","14","140","44.6","10.00","8.24","140.0","82.4","0","0.0","0","0","0","28.0","28.0","28.0","14.0"
"43","Justin Jefferson","MIN","WR","1","2022","1","12","NE","12","31.6","9","139","44.8","15.44","11.58","139.0","75.0","1","33.3","1","1","0","29.3","29.3","29.3","20.3"
