"Player Details","","","","","","","","","Rushing","","","","","","","","","","","","","","","","","","","","","","Receiving","","","","","","","","","","","","","","FPTS","","",""
"Rank","Name","Team","POS","G","Season","Season Type","WEEK","Opponent","ATT","YDS","RuYDS/G","YPC","TD","FUM","SCRM","YDS","TD","1+ %","3+ %","5+ %","10+ %","15+ %","20+ %","30+ %","i5","i5 %","i10","i10 %","i20","i20 %","TGT","TGT %","REC","YDS","TM YDS %","YPR","YPT","RecYDS/G","CR %","TD","TM TD %","i10","i20 TGT","FUM","WO","WO/G","FP/G","FP"
"1","Josh Jacobs","LV","RB","1","2022","1","12","SEA","33","229","229.0","6.94","2","0","0","0","0","78.8","63.6","39.4","12.1","9.1","6.1","6.1","0","0.0","1","50.0","4","66.7","6","16.7","6","74","25.1","12.33","12.33","74.0","100.0","0","0.0","0","1","0","29.3","29.3","48.3","48.3"
"2","Derrick Henry","TEN","RB","1","2022","1","8","HST","32","219","219.0","6.84","2","0","0","0","0","84.4","62.5","50.0","21.9","9.4","6.3","3.1","1","50.0","1","50.0","5","83.3","1","10.0","1","9","16.4","9.00","9.00","9.0","100.0","0","0.0","0","0","0","21.5","21.5","35.8","35.8"
"3","Austin Ekeler","LAC","RB","1","2022","1","5","CLV","16","173","173.0","10.81","1","0","0","0","0","93.8","75.0","50.0","31.3","25.0","12.5","6.3","0","0.0","1","25.0","2","33.3","4","11.8","4","26","11.4","6.50","6.50","26.0","100.0","1","100.0","1","2","0","17.1","17.1","35.9","35.9"
"4","Rhamondre Stevenson","NE","RB","1","2022","1","15","LV","19","172","172.0","9.05","1","0","0","0","0","100.0","84.2","52.6","26.3","21.1","15.8","5.3","1","100.0","1","100.0","1","50.0","4","12.9","2","-4","-3.6","-2.00","-1.00","-4.0","50.0","0","0.0","0","0","0","16.1","16.1","24.8","24.8"
"5","Kenneth Walker","SEA","RB","1","2022","1","7","LAC","23","167","167.0","7.26","2","0","0","0","0","73.9","52.2","34.8","21.7","13.0","4.3","4.3","0","0.0","1","100.0","6","100.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","16.4","16.4","28.7","28.7"
"6","D'Onta Foreman","CAR","RB","1","2022","1","16","DET","21","165","165.0","7.86","1","0","0","0","0","81.0","57.1","42.9","23.8","23.8","19.0","4.8","1","50.0","2","50.0","4","50.0","0","0.0","0","0","0.0","","0.00","0.0","","0","0.0","0","0","0","13.7","13.7","22.5","22.5"
"7","Saquon Barkley","NYG","RB","1","2022","1","1","TEN","18","164","164.0","9.11","1","1","0","0","0","88.9","61.1","38.9","22.2","16.7","11.1","11.1","2","100.0","4","100.0","5","55.6","7","33.3","6","30","16.0","5.00","4.29","30.0","85.7","0","0.0","1","1","0","24.3","24.3","33.4","33.4"
"8","Rhamondre Stevenson","NE","RB","1","2022","1","5","DET","25","161","161.0","6.44","0","0","0","0","0","80.0","56.0","36.0","20.0","8.0","8.0","4.0","0","0.0","0","0.0","3","50.0","2","9.5","2","14","7.4","7.00","7.00","14.0","100.0","0","0.0","0","1","0","18.6","18.6","19.5","19.5"
"9","Jonathan Taylor","IND","RB","1","2022","1","1","HST","31","161","161.0","5.19","1","0","0","0","0","80.6","58.1","48.4","16.1","3.2","","","1","50.0","2","66.7","7","87.5","5","10.0","4","14","4.0","3.50","2.80","14.0","80.0","0","0.0","0","0","0","28.6","28.6","27.5","27.5"
